"ID"	"CellType"
"C32210"	"Epithelial.cells"
"C15325"	"Epithelial.cells"
"C14653"	"Epithelial.cells"
"C1769"	"Epithelial.cells"
"C31125"	"Epithelial.cells"
"C31260"	"Epithelial.cells"
"C31446"	"Epithelial.cells"
"C31458"	"Epithelial.cells"
"C10219"	"Epithelial.cells"
"C12857"	"Epithelial.cells"
"C13454"	"Epithelial.cells"
"C32236"	"Epithelial.cells"
"C12126"	"Epithelial.cells"
"C4640"	"Epithelial.cells"
"C15487"	"Epithelial.cells"
"C31882"	"Epithelial.cells"
"C15095"	"Epithelial.cells"
"C14400"	"Epithelial.cells"
"C10276"	"Epithelial.cells"
"C13359"	"Epithelial.cells"
"C4203"	"Epithelial.cells"
"C31140"	"Epithelial.cells"
"C9935"	"Epithelial.cells"
"C30983"	"Epithelial.cells"
"C14903"	"Epithelial.cells"
"C30920"	"Epithelial.cells"
"C1469"	"Epithelial.cells"
"C9758"	"Epithelial.cells"
"C32240"	"Epithelial.cells"
"C4242"	"Epithelial.cells"
"C30854"	"Epithelial.cells"
"C10992"	"Epithelial.cells"
"C31049"	"Epithelial.cells"
"C31894"	"Epithelial.cells"
"C31343"	"Epithelial.cells"
"C3742"	"Epithelial.cells"
"C31207"	"Epithelial.cells"
"C14979"	"Epithelial.cells"
"C6294"	"Epithelial.cells"
"C15266"	"Epithelial.cells"
"C16492"	"Epithelial.cells"
"C31174"	"Epithelial.cells"
"C16940"	"Epithelial.cells"
"C32091"	"Epithelial.cells"
"C19913"	"Epithelial.cells"
"C3508"	"Epithelial.cells"
"C31043"	"Epithelial.cells"
"C12932"	"Epithelial.cells"
"C11513"	"Epithelial.cells"
"C1522"	"Epithelial.cells"
"C15132"	"Epithelial.cells"
"C13104"	"Epithelial.cells"
"C31477"	"Epithelial.cells"
"C31008"	"Epithelial.cells"
"C32160"	"Epithelial.cells"
"C12725"	"Epithelial.cells"
"C11614"	"Epithelial.cells"
"C10751"	"Epithelial.cells"
"C32106"	"Epithelial.cells"
"C31955"	"Epithelial.cells"
"C31986"	"Epithelial.cells"
"C9822"	"Epithelial.cells"
"C6139"	"Epithelial.cells"
"C14599"	"Epithelial.cells"
"C30899"	"Epithelial.cells"
"C14803"	"Epithelial.cells"
"C13028"	"Epithelial.cells"
"C4020"	"Epithelial.cells"
"C14672"	"Epithelial.cells"
"C15796"	"Epithelial.cells"
"C7049"	"Epithelial.cells"
"C9967"	"Epithelial.cells"
"C30856"	"Epithelial.cells"
"C13356"	"Epithelial.cells"
"C956"	"Epithelial.cells"
"C13120"	"Epithelial.cells"
"C170"	"Epithelial.cells"
"C31902"	"Epithelial.cells"
"C15355"	"Epithelial.cells"
"C31985"	"Epithelial.cells"
"C3100"	"Epithelial.cells"
"C31065"	"Epithelial.cells"
"C31878"	"Epithelial.cells"
"C5691"	"Epithelial.cells"
"C31714"	"Epithelial.cells"
"C31602"	"Epithelial.cells"
"C10493"	"Epithelial.cells"
"C14750"	"Epithelial.cells"
"C7691"	"Epithelial.cells"
"C9739"	"Epithelial.cells"
"C11086"	"Epithelial.cells"
"C6643"	"Epithelial.cells"
"C17974"	"Epithelial.cells"
"C19326"	"Epithelial.cells"
"C14618"	"Epithelial.cells"
"C32126"	"Epithelial.cells"
"C3653"	"Epithelial.cells"
"C212"	"Epithelial.cells"
"C31226"	"Epithelial.cells"
"C4947"	"Epithelial.cells"
"C12639"	"Epithelial.cells"
"C31354"	"Epithelial.cells"
"C1056"	"Epithelial.cells"
"C4600"	"Epithelial.cells"
"C5963"	"Epithelial.cells"
"C314"	"Epithelial.cells"
"C13391"	"Epithelial.cells"
"C14036"	"Epithelial.cells"
"C32051"	"Epithelial.cells"
"C31318"	"Epithelial.cells"
"C1933"	"Epithelial.cells"
"C5559"	"Epithelial.cells"
"C31519"	"Epithelial.cells"
"C12370"	"Epithelial.cells"
"C9944"	"Epithelial.cells"
"C12255"	"Epithelial.cells"
"C3349"	"Epithelial.cells"
"C15649"	"Epithelial.cells"
"C4130"	"Epithelial.cells"
"C32183"	"Epithelial.cells"
"C31870"	"Epithelial.cells"
"C5838"	"Epithelial.cells"
"C31834"	"Epithelial.cells"
"C30764"	"Epithelial.cells"
"C12060"	"Epithelial.cells"
"C615"	"Epithelial.cells"
"C1221"	"Epithelial.cells"
"C11526"	"Epithelial.cells"
"C1088"	"Epithelial.cells"
"C14293"	"Epithelial.cells"
"C1662"	"Epithelial.cells"
"C9600"	"Epithelial.cells"
"C31000"	"Epithelial.cells"
"C18792"	"Epithelial.cells"
"C31499"	"Epithelial.cells"
"C13675"	"Epithelial.cells"
"C30743"	"Epithelial.cells"
"C13536"	"Epithelial.cells"
"C1805"	"Epithelial.cells"
"C12936"	"Epithelial.cells"
"C14549"	"Epithelial.cells"
"C237"	"Epithelial.cells"
"C12624"	"Epithelial.cells"
"C32263"	"Epithelial.cells"
"C30890"	"Epithelial.cells"
"C15727"	"Epithelial.cells"
"C4069"	"Epithelial.cells"
"C31450"	"Epithelial.cells"
"C10352"	"Epithelial.cells"
"C30690"	"Epithelial.cells"
"C31447"	"Epithelial.cells"
"C32220"	"Epithelial.cells"
"C11628"	"Epithelial.cells"
"C2616"	"Epithelial.cells"
"C31132"	"Epithelial.cells"
"C577"	"Epithelial.cells"
"C31061"	"Epithelial.cells"
"C7452"	"Epithelial.cells"
"C14808"	"Epithelial.cells"
"C20056"	"Epithelial.cells"
"C31707"	"Epithelial.cells"
"C1934"	"Epithelial.cells"
"C4697"	"Epithelial.cells"
"C31994"	"Epithelial.cells"
"C11214"	"Epithelial.cells"
"C31001"	"Epithelial.cells"
"C13236"	"Epithelial.cells"
"C13802"	"Epithelial.cells"
"C9855"	"Epithelial.cells"
"C32070"	"Epithelial.cells"
"C15863"	"Epithelial.cells"
"C585"	"Epithelial.cells"
"C1560"	"Epithelial.cells"
"C30840"	"Epithelial.cells"
"C1245"	"Epithelial.cells"
"C10128"	"Epithelial.cells"
"C30957"	"Epithelial.cells"
"C242"	"Epithelial.cells"
"C30779"	"Epithelial.cells"
"C14859"	"Epithelial.cells"
"C19874"	"Epithelial.cells"
"C31085"	"Epithelial.cells"
"C14245"	"Epithelial.cells"
"C1312"	"Epithelial.cells"
"C15414"	"Epithelial.cells"
"C15303"	"Epithelial.cells"
"C31134"	"Epithelial.cells"
"C31504"	"Epithelial.cells"
"C31032"	"Epithelial.cells"
"C922"	"Epithelial.cells"
"C15374"	"Epithelial.cells"
"C14730"	"Epithelial.cells"
"C14820"	"Epithelial.cells"
