"ID"	"CellType"
"C6182"	"Epithelial.cells"
"C4741"	"Epithelial.cells"
"C7819"	"Epithelial.cells"
"C10855"	"Epithelial.cells"
"C13022"	"Epithelial.cells"
"C13258"	"Epithelial.cells"
"C11825"	"Epithelial.cells"
"C30943"	"Epithelial.cells"
"C31970"	"Epithelial.cells"
"C278"	"Epithelial.cells"
"C352"	"Epithelial.cells"
"C14587"	"Epithelial.cells"
"C13557"	"Epithelial.cells"
"C4255"	"Epithelial.cells"
"C14142"	"Epithelial.cells"
"C14888"	"Epithelial.cells"
"C1309"	"Epithelial.cells"
"C11177"	"Epithelial.cells"
"C11799"	"Epithelial.cells"
"C2769"	"Epithelial.cells"
"C9889"	"Epithelial.cells"
"C12548"	"Epithelial.cells"
"C15551"	"Epithelial.cells"
"C4822"	"Epithelial.cells"
"C31619"	"Epithelial.cells"
"C12889"	"Epithelial.cells"
"C31320"	"Epithelial.cells"
"C15470"	"Epithelial.cells"
"C9994"	"Epithelial.cells"
"C31822"	"Epithelial.cells"
"C14050"	"Epithelial.cells"
"C273"	"Epithelial.cells"
"C15523"	"Epithelial.cells"
"C31718"	"Epithelial.cells"
"C1201"	"Epithelial.cells"
"C31284"	"Epithelial.cells"
"C1936"	"Epithelial.cells"
"C16560"	"Epithelial.cells"
"C5137"	"Epithelial.cells"
"C18563"	"Epithelial.cells"
"C18076"	"Epithelial.cells"
"C4236"	"Epithelial.cells"
"C19982"	"Epithelial.cells"
"C9576"	"Epithelial.cells"
"C14621"	"Epithelial.cells"
"C31383"	"Epithelial.cells"
"C14274"	"Epithelial.cells"
"C544"	"Epithelial.cells"
"C13950"	"Epithelial.cells"
"C5737"	"Epithelial.cells"
"C11750"	"Epithelial.cells"
"C10925"	"Epithelial.cells"
"C15823"	"Epithelial.cells"
"C13469"	"Epithelial.cells"
"C16338"	"Epithelial.cells"
"C2745"	"Epithelial.cells"
"C12969"	"Epithelial.cells"
"C10555"	"Epithelial.cells"
"C14576"	"Epithelial.cells"
"C3065"	"Epithelial.cells"
"C12597"	"Epithelial.cells"
"C12975"	"Epithelial.cells"
"C31775"	"Epithelial.cells"
"C16579"	"Epithelial.cells"
"C3251"	"Epithelial.cells"
"C14414"	"Epithelial.cells"
"C108"	"Epithelial.cells"
"C10664"	"Epithelial.cells"
"C31947"	"Epithelial.cells"
"C31931"	"Epithelial.cells"
"C12016"	"Epithelial.cells"
"C2797"	"Epithelial.cells"
"C30999"	"Epithelial.cells"
"C32162"	"Epithelial.cells"
"C3227"	"Epithelial.cells"
"C14455"	"Epithelial.cells"
"C6591"	"Epithelial.cells"
"C16938"	"Epithelial.cells"
"C32079"	"Epithelial.cells"
"C2398"	"Epithelial.cells"
"C18669"	"Epithelial.cells"
"C1061"	"Epithelial.cells"
"C12075"	"Epithelial.cells"
"C14263"	"Epithelial.cells"
"C30981"	"Epithelial.cells"
"C20022"	"Epithelial.cells"
"C1357"	"Epithelial.cells"
"C14216"	"Epithelial.cells"
"C31800"	"Epithelial.cells"
"C13741"	"Epithelial.cells"
"C30784"	"Epithelial.cells"
"C3177"	"Epithelial.cells"
"C32258"	"Epithelial.cells"
"C31938"	"Epithelial.cells"
"C11745"	"Epithelial.cells"
"C16758"	"Epithelial.cells"
"C13543"	"Epithelial.cells"
"C30763"	"Epithelial.cells"
"C31095"	"Epithelial.cells"
"C31247"	"Epithelial.cells"
"C14765"	"Epithelial.cells"
"C31022"	"Epithelial.cells"
"C4992"	"Epithelial.cells"
"C13777"	"Epithelial.cells"
"C31337"	"Epithelial.cells"
"C2353"	"Epithelial.cells"
"C31541"	"Epithelial.cells"
"C669"	"Epithelial.cells"
"C16328"	"Epithelial.cells"
"C15695"	"Epithelial.cells"
"C32154"	"Epithelial.cells"
"C30713"	"Epithelial.cells"
"C12625"	"Epithelial.cells"
"C13257"	"Epithelial.cells"
"C299"	"Epithelial.cells"
"C14566"	"Epithelial.cells"
"C31221"	"Epithelial.cells"
"C30904"	"Epithelial.cells"
"C842"	"Epithelial.cells"
"C12758"	"Epithelial.cells"
"C30883"	"Epithelial.cells"
"C30753"	"Epithelial.cells"
"C19693"	"Epithelial.cells"
"C1070"	"Epithelial.cells"
"C30937"	"Epithelial.cells"
"C30780"	"Epithelial.cells"
"C12809"	"Epithelial.cells"
"C13941"	"Epithelial.cells"
"C11886"	"Epithelial.cells"
"C10716"	"Epithelial.cells"
"C609"	"Epithelial.cells"
"C14660"	"Epithelial.cells"
"C31654"	"Epithelial.cells"
"C31649"	"Epithelial.cells"
"C9573"	"Epithelial.cells"
"C30984"	"Epithelial.cells"
"C15548"	"Epithelial.cells"
"C5907"	"Epithelial.cells"
"C1065"	"Epithelial.cells"
"C57"	"Epithelial.cells"
"C30789"	"Epithelial.cells"
"C31102"	"Epithelial.cells"
"C4502"	"Epithelial.cells"
"C30799"	"Epithelial.cells"
"C15844"	"Epithelial.cells"
"C10715"	"Epithelial.cells"
"C3368"	"Epithelial.cells"
"C1036"	"Epithelial.cells"
"C14563"	"Epithelial.cells"
"C12935"	"Epithelial.cells"
"C31877"	"Epithelial.cells"
