Mixture	Fibroblasts	Endothelial.cells	Epithelial.cells	B.cells	CD4.T.cells	CD8.T.cells	Dendritic.cells	Mast.cells	Monocytes.and.Macrophages	NK.cells	PCs	PMNs
TCGA.05.4249.01A.01R.1107.07	0.0401628934468682	0.0149827824879092	0.705434400093188	0.00722960294599167	0.0321619523843102	0.00961840514350832	0.0402712139632776	0.0377395869356766	0.0849832105432929	0.00385836164875381	0.0200049422993814	0.00355264810784224
TCGA.05.4397.01A.01R.1206.07	0.0226736876378864	0.00918566916515591	0.634792415956162	0.00865856474398528	0.0358635733977307	0.0187849022007036	0.0171861995040649	0.0105981340477997	0.209400833512602	0.0126613042740124	0.0155557547382036	0.00463896082169336
TCGA.05.4398.01A.01R.1206.07	0.0715101861352869	0.0122823746004554	0.404157988031633	0.00873224041390086	0.115553975525799	0.0319221661229629	0.0172269633008204	0.00979928573135498	0.252496126957571	0.013547284919731	0.0576826803489188	0.0050887279115647
TCGA.05.4410.01A.21R.1858.07	0.0362479844544217	0.00918483504773773	0.638021126533203	0.0107935375149593	0.0499277754870197	0.042050614653473	0.00139605107581641	0.00648467697722528	0.112400341462375	0.00856874170645859	0.0832274998970257	0.00169681519028544
TCGA.05.5425.01A.02R.1628.07	0.025960081819182	0.0160369160227691	0.58206765650267	0.0100444336797072	0.0686607483236819	0.0553257188416408	0.00959880409019652	0.00783844532325113	0.174089900982559	0.0121159925992691	0.0305794285663758	0.00768187324869764
TCGA.18.3406.01A.01R.0980.07	0.0947807964677298	0.0274131064902936	0.433307534514066	0.00338701896551097	0.0812059394802882	0.0398713363527234	0.0116918452561089	0.00965344540159314	0.173744672110181	0.00659631427600215	0.107120675628366	0.0112273150571378
TCGA.18.3410.01A.01R.0980.07	0.0504389836931888	0.0115705252859377	0.399554463439285	0.00302418709950843	0.136121239071647	0.102899176309251	0.00344635898978426	0.0138636959958351	0.218265398257665	0.0113596439400978	0.0450421803908664	0.00441414752693282
TCGA.18.3411.01A.01R.0980.07	0.085200746513689	0.0135958905924112	0.515556169309713	0.00535323489068158	0.0630191401849897	0.0238349853065116	0.0171855187081679	0.0213924343192514	0.186121722251316	0.0170483748002706	0.050100659633418	0.00159112348958012
TCGA.18.3417.01A.01R.1443.07	0.3498927120109	0.0129326768141707	0.429847594441463	0.00423978428403951	0.0281888684049903	0.0141758879209634	0.00348491381206048	0.0116395182492315	0.116256264073926	0.00383972863989852	0.0249886781382383	0.000513373210118343
TCGA.21.1076.01A.01R.0692.07	0.119302065558515	0.0188654381207964	0.378178749351327	0.0196275841850627	0.0650507224671796	0.029058226501856	0.00575822631637376	0.0226604535405448	0.305621236855268	0.00580551559711931	0.0268305767042097	0.00324120480174787
TCGA.21.5786.01A.01R.1635.07	0.252743250621841	0.0194206204910337	0.538014439044143	0.00290359142896952	0.0251822626940093	0.0171120713095307	0.000322819563292783	0.00463201252777358	0.0829401047220916	0.00572838154384736	0.0497860471876709	0.00121439886579628
TCGA.22.1016.01A.01R.0692.07	0.115443766184302	0.0485063766571175	0.457902873724336	0.00580602920551494	0.0590060476998574	0.0144609917291978	0.0179241142163692	0.0208391544842594	0.213360236780417	0.0159260372493524	0.0149954993638718	0.015828872705405
TCGA.22.4591.01A.01R.1201.07	0.0174555128342931	0.0126767320487155	0.856335369555287	0.00325318354163954	0.0165749323273256	0.0121313763033283	0.00469677743103164	0.00534351344445685	0.0577556860910695	0.00397148004079505	0.00927440287813232	0.000531033503925555
