"ID"	"CellType"	"Tissue"
"Cell_640"	"B.cells"	"Normal"
"Cell_641"	"B.cells"	"Normal"
"Cell_642"	"B.cells"	"Tumor"
"Cell_643"	"B.cells"	"Tumor"
"Cell_644"	"B.cells"	"Tumor"
"Cell_645"	"B.cells"	"Tumor"
"Cell_646"	"B.cells"	"Normal"
"Cell_647"	"B.cells"	"Tumor"
"Cell_648"	"B.cells"	"Tumor"
"Cell_649"	"B.cells"	"Tumor"
"Cell_650"	"B.cells"	"Tumor"
"Cell_651"	"B.cells"	"Tumor"
"Cell_652"	"B.cells"	"Tumor"
"Cell_653"	"B.cells"	"Normal"
"Cell_654"	"B.cells"	"Tumor"
"Cell_655"	"B.cells"	"Tumor"
"Cell_656"	"B.cells"	"Tumor"
"Cell_657"	"B.cells"	"Tumor"
"Cell_658"	"B.cells"	"Normal"
"Cell_659"	"B.cells"	"Tumor"
"Cell_660"	"B.cells"	"Tumor"
"Cell_661"	"B.cells"	"Normal"
"Cell_662"	"B.cells"	"Tumor"
"Cell_663"	"B.cells"	"Normal"
"Cell_664"	"B.cells"	"Tumor"
"Cell_665"	"B.cells"	"Tumor"
"Cell_666"	"B.cells"	"Tumor"
"Cell_667"	"B.cells"	"Normal"
"Cell_668"	"B.cells"	"Tumor"
"Cell_669"	"B.cells"	"Tumor"
"Cell_670"	"B.cells"	"Tumor"
"Cell_671"	"B.cells"	"Tumor"
"Cell_672"	"B.cells"	"Normal"
"Cell_673"	"B.cells"	"Normal"
"Cell_674"	"B.cells"	"Tumor"
"Cell_675"	"B.cells"	"Tumor"
"Cell_676"	"B.cells"	"Tumor"
"Cell_677"	"B.cells"	"Normal"
"Cell_678"	"B.cells"	"Tumor"
"Cell_679"	"B.cells"	"Tumor"
"Cell_680"	"B.cells"	"Tumor"
"Cell_681"	"B.cells"	"Normal"
"Cell_682"	"B.cells"	"Tumor"
"Cell_683"	"B.cells"	"Normal"
"Cell_684"	"B.cells"	"Tumor"
"Cell_685"	"B.cells"	"Tumor"
"Cell_686"	"B.cells"	"Normal"
"Cell_687"	"B.cells"	"Normal"
"Cell_688"	"B.cells"	"Normal"
"Cell_689"	"B.cells"	"Normal"
"Cell_690"	"B.cells"	"Tumor"
"Cell_691"	"B.cells"	"Normal"
"Cell_692"	"B.cells"	"Normal"
"Cell_693"	"B.cells"	"Tumor"
"Cell_694"	"B.cells"	"Normal"
"Cell_695"	"B.cells"	"Tumor"
"Cell_696"	"B.cells"	"Normal"
"Cell_697"	"B.cells"	"Tumor"
"Cell_698"	"B.cells"	"Tumor"
"Cell_699"	"B.cells"	"Tumor"
"Cell_700"	"B.cells"	"Tumor"
"Cell_701"	"B.cells"	"Tumor"
"Cell_702"	"B.cells"	"Tumor"
"Cell_703"	"B.cells"	"Normal"
"Cell_704"	"B.cells"	"Tumor"
"Cell_705"	"B.cells"	"Tumor"
"Cell_706"	"B.cells"	"Tumor"
"Cell_707"	"B.cells"	"Normal"
"Cell_708"	"B.cells"	"Normal"
"Cell_709"	"B.cells"	"Tumor"
"Cell_710"	"B.cells"	"Tumor"
"Cell_711"	"B.cells"	"Tumor"
"Cell_712"	"B.cells"	"Tumor"
"Cell_713"	"B.cells"	"Tumor"
"Cell_714"	"B.cells"	"Tumor"
"Cell_715"	"B.cells"	"Tumor"
"Cell_716"	"B.cells"	"Tumor"
"Cell_717"	"B.cells"	"Tumor"
"Cell_718"	"B.cells"	"Tumor"
"Cell_719"	"B.cells"	"Tumor"
"Cell_720"	"B.cells"	"Tumor"
"Cell_721"	"B.cells"	"Tumor"
"Cell_722"	"B.cells"	"Tumor"
"Cell_723"	"B.cells"	"Tumor"
"Cell_724"	"B.cells"	"Tumor"
"Cell_725"	"B.cells"	"Tumor"
"Cell_726"	"B.cells"	"Tumor"
"Cell_727"	"B.cells"	"Tumor"
"Cell_728"	"B.cells"	"Tumor"
"Cell_729"	"B.cells"	"Tumor"
"Cell_730"	"B.cells"	"Tumor"
"Cell_731"	"B.cells"	"Tumor"
"Cell_732"	"B.cells"	"Tumor"
"Cell_733"	"B.cells"	"Tumor"
"Cell_734"	"B.cells"	"Tumor"
"Cell_735"	"B.cells"	"Tumor"
"Cell_736"	"B.cells"	"Normal"
"Cell_737"	"B.cells"	"Tumor"
"Cell_738"	"B.cells"	"Normal"
"Cell_739"	"B.cells"	"Tumor"
"Cell_740"	"B.cells"	"Tumor"
"Cell_741"	"B.cells"	"Normal"
"Cell_742"	"B.cells"	"Tumor"
"Cell_743"	"B.cells"	"Tumor"
"Cell_744"	"B.cells"	"Tumor"
"Cell_745"	"B.cells"	"Tumor"
"Cell_746"	"B.cells"	"Tumor"
"Cell_747"	"B.cells"	"Tumor"
"Cell_748"	"B.cells"	"Tumor"
"Cell_749"	"B.cells"	"Tumor"
"Cell_750"	"B.cells"	"Tumor"
"Cell_751"	"B.cells"	"Tumor"
"Cell_752"	"B.cells"	"Tumor"
"Cell_753"	"B.cells"	"Tumor"
"Cell_754"	"B.cells"	"Tumor"
"Cell_755"	"B.cells"	"Tumor"
"Cell_756"	"B.cells"	"Tumor"
"Cell_757"	"B.cells"	"Normal"
"Cell_758"	"B.cells"	"Normal"
"Cell_759"	"B.cells"	"Tumor"
"Cell_760"	"B.cells"	"Tumor"
"Cell_761"	"B.cells"	"Normal"
"Cell_762"	"B.cells"	"Tumor"
"Cell_763"	"B.cells"	"Tumor"
"Cell_764"	"B.cells"	"Tumor"
"Cell_765"	"B.cells"	"Tumor"
"Cell_766"	"B.cells"	"Tumor"
"Cell_767"	"B.cells"	"Tumor"
"Cell_768"	"B.cells"	"Tumor"
"Cell_769"	"B.cells"	"Tumor"
"Cell_770"	"B.cells"	"Tumor"
"Cell_771"	"B.cells"	"Tumor"
"Cell_772"	"B.cells"	"Normal"
"Cell_773"	"B.cells"	"Tumor"
"Cell_774"	"B.cells"	"Tumor"
"Cell_775"	"B.cells"	"Tumor"
"Cell_776"	"B.cells"	"Normal"
"Cell_777"	"B.cells"	"Tumor"
"Cell_778"	"B.cells"	"Normal"
"Cell_779"	"B.cells"	"Tumor"
"Cell_780"	"B.cells"	"Tumor"
"Cell_781"	"B.cells"	"Normal"
"Cell_782"	"B.cells"	"Tumor"
"Cell_783"	"B.cells"	"Tumor"
"Cell_784"	"B.cells"	"Tumor"
"Cell_785"	"B.cells"	"Tumor"
"Cell_786"	"B.cells"	"Tumor"
"Cell_787"	"B.cells"	"Tumor"
"Cell_788"	"B.cells"	"Normal"
"Cell_789"	"B.cells"	"Normal"
"Cell_790"	"B.cells"	"Tumor"
"Cell_791"	"B.cells"	"Tumor"
"Cell_792"	"B.cells"	"Normal"
"Cell_793"	"B.cells"	"Tumor"
"Cell_794"	"B.cells"	"Normal"
"Cell_795"	"B.cells"	"Tumor"
"Cell_796"	"B.cells"	"Tumor"
"Cell_797"	"B.cells"	"Tumor"
"Cell_798"	"B.cells"	"Normal"
"Cell_799"	"B.cells"	"Tumor"
"Cell_800"	"B.cells"	"Normal"
"Cell_801"	"B.cells"	"Tumor"
"Cell_802"	"B.cells"	"Tumor"
"Cell_803"	"B.cells"	"Tumor"
"Cell_804"	"B.cells"	"Normal"
"Cell_805"	"B.cells"	"Tumor"
"Cell_806"	"B.cells"	"Tumor"
"Cell_807"	"B.cells"	"Normal"
"Cell_808"	"B.cells"	"Normal"
"Cell_809"	"B.cells"	"Tumor"
"Cell_810"	"B.cells"	"Normal"
"Cell_811"	"B.cells"	"Tumor"
"Cell_812"	"B.cells"	"Normal"
"Cell_813"	"B.cells"	"Tumor"
"Cell_814"	"B.cells"	"Tumor"
"Cell_815"	"B.cells"	"Tumor"
"Cell_816"	"B.cells"	"Normal"
"Cell_817"	"B.cells"	"Tumor"
"Cell_818"	"B.cells"	"Tumor"
"Cell_819"	"B.cells"	"Tumor"
"Cell_820"	"B.cells"	"Normal"
"Cell_821"	"B.cells"	"Tumor"
"Cell_822"	"B.cells"	"Tumor"
"Cell_823"	"B.cells"	"Tumor"
"Cell_824"	"B.cells"	"Tumor"
"Cell_825"	"B.cells"	"Tumor"
"Cell_826"	"B.cells"	"Tumor"
"Cell_827"	"B.cells"	"Tumor"
"Cell_828"	"B.cells"	"Tumor"
"Cell_829"	"B.cells"	"Normal"
"Cell_830"	"B.cells"	"Normal"
"Cell_831"	"B.cells"	"Tumor"
"Cell_832"	"B.cells"	"Normal"
"Cell_833"	"B.cells"	"Tumor"
"Cell_834"	"B.cells"	"Normal"
"Cell_835"	"B.cells"	"Tumor"
"Cell_836"	"B.cells"	"Tumor"
"Cell_837"	"B.cells"	"Tumor"
"Cell_838"	"B.cells"	"Tumor"
"Cell_839"	"B.cells"	"Tumor"
"Cell_840"	"B.cells"	"Tumor"
"Cell_841"	"B.cells"	"Tumor"
"Cell_842"	"B.cells"	"Tumor"
"Cell_843"	"B.cells"	"Tumor"
"Cell_844"	"B.cells"	"Tumor"
"Cell_845"	"B.cells"	"Tumor"
"Cell_846"	"B.cells"	"Tumor"
"Cell_847"	"B.cells"	"Normal"
"Cell_848"	"B.cells"	"Normal"
"Cell_849"	"B.cells"	"Tumor"
"Cell_850"	"B.cells"	"Normal"
"Cell_851"	"B.cells"	"Tumor"
"Cell_852"	"B.cells"	"Tumor"
"Cell_853"	"B.cells"	"Tumor"
"Cell_854"	"B.cells"	"Tumor"
"Cell_855"	"B.cells"	"Tumor"
"Cell_856"	"B.cells"	"Normal"
"Cell_857"	"B.cells"	"Tumor"
"Cell_858"	"B.cells"	"Normal"
"Cell_859"	"B.cells"	"Tumor"
"Cell_860"	"B.cells"	"Tumor"
"Cell_861"	"B.cells"	"Tumor"
"Cell_862"	"B.cells"	"Tumor"
"Cell_863"	"B.cells"	"Tumor"
"Cell_864"	"B.cells"	"Tumor"
"Cell_865"	"B.cells"	"Tumor"
"Cell_866"	"B.cells"	"Tumor"
"Cell_867"	"B.cells"	"Normal"
"Cell_868"	"B.cells"	"Tumor"
"Cell_869"	"B.cells"	"Tumor"
"Cell_870"	"B.cells"	"Tumor"
"Cell_871"	"B.cells"	"Tumor"
"Cell_872"	"B.cells"	"Normal"
"Cell_873"	"B.cells"	"Tumor"
"Cell_874"	"B.cells"	"Tumor"
"Cell_875"	"B.cells"	"Tumor"
"Cell_876"	"B.cells"	"Normal"
"Cell_877"	"B.cells"	"Tumor"
"Cell_878"	"B.cells"	"Normal"
"Cell_879"	"B.cells"	"Normal"
"Cell_880"	"B.cells"	"Tumor"
"Cell_881"	"B.cells"	"Tumor"
"Cell_882"	"B.cells"	"Tumor"
"Cell_883"	"B.cells"	"Tumor"
"Cell_884"	"B.cells"	"Tumor"
"Cell_885"	"B.cells"	"Normal"
"Cell_886"	"B.cells"	"Tumor"
"Cell_887"	"B.cells"	"Tumor"
"Cell_888"	"B.cells"	"Tumor"
"Cell_889"	"B.cells"	"Tumor"
"Cell_890"	"B.cells"	"Normal"
"Cell_891"	"B.cells"	"Tumor"
"Cell_892"	"B.cells"	"Tumor"
"Cell_893"	"B.cells"	"Normal"
"Cell_894"	"B.cells"	"Tumor"
"Cell_895"	"B.cells"	"Tumor"
"Cell_896"	"B.cells"	"Tumor"
"Cell_897"	"B.cells"	"Tumor"
"Cell_898"	"B.cells"	"Tumor"
"Cell_899"	"B.cells"	"Normal"
"Cell_900"	"B.cells"	"Normal"
"Cell_901"	"B.cells"	"Tumor"
"Cell_902"	"B.cells"	"Normal"
"Cell_903"	"B.cells"	"Normal"
"Cell_904"	"B.cells"	"Normal"
"Cell_905"	"B.cells"	"Tumor"
"Cell_906"	"B.cells"	"Normal"
"Cell_907"	"B.cells"	"Tumor"
"Cell_908"	"B.cells"	"Tumor"
"Cell_909"	"B.cells"	"Tumor"
"Cell_910"	"B.cells"	"Tumor"
"Cell_911"	"B.cells"	"Tumor"
"Cell_912"	"B.cells"	"Tumor"
"Cell_913"	"B.cells"	"Tumor"
"Cell_914"	"B.cells"	"Normal"
"Cell_915"	"B.cells"	"Tumor"
"Cell_916"	"B.cells"	"Normal"
"Cell_917"	"B.cells"	"Normal"
"Cell_918"	"B.cells"	"Tumor"
"Cell_919"	"B.cells"	"Tumor"
"Cell_920"	"B.cells"	"Tumor"
"Cell_921"	"B.cells"	"Normal"
"Cell_922"	"B.cells"	"Tumor"
"Cell_923"	"B.cells"	"Tumor"
"Cell_924"	"B.cells"	"Normal"
"Cell_925"	"B.cells"	"Tumor"
"Cell_926"	"B.cells"	"Tumor"
"Cell_927"	"B.cells"	"Tumor"
"Cell_928"	"B.cells"	"Tumor"
"Cell_929"	"B.cells"	"Tumor"
"Cell_930"	"B.cells"	"Tumor"
"Cell_931"	"B.cells"	"Tumor"
"Cell_932"	"B.cells"	"Normal"
"Cell_933"	"B.cells"	"Normal"
"Cell_934"	"B.cells"	"Tumor"
"Cell_935"	"B.cells"	"Tumor"
"Cell_936"	"B.cells"	"Tumor"
"Cell_937"	"B.cells"	"Normal"
"Cell_938"	"B.cells"	"Tumor"
"Cell_939"	"B.cells"	"Tumor"
"Cell_940"	"B.cells"	"Tumor"
"Cell_941"	"B.cells"	"Tumor"
"Cell_942"	"B.cells"	"Tumor"
"Cell_943"	"B.cells"	"Tumor"
"Cell_944"	"B.cells"	"Normal"
"Cell_945"	"B.cells"	"Normal"
"Cell_946"	"B.cells"	"Tumor"
"Cell_947"	"B.cells"	"Normal"
"Cell_948"	"B.cells"	"Normal"
"Cell_949"	"B.cells"	"Tumor"
"Cell_950"	"B.cells"	"Tumor"
"Cell_951"	"B.cells"	"Normal"
"Cell_952"	"B.cells"	"Tumor"
"Cell_953"	"B.cells"	"Tumor"
"Cell_954"	"B.cells"	"Tumor"
"Cell_955"	"B.cells"	"Normal"
"Cell_956"	"B.cells"	"Tumor"
"Cell_957"	"B.cells"	"Tumor"
"Cell_958"	"B.cells"	"Tumor"
"Cell_959"	"B.cells"	"Normal"
"Cell_960"	"B.cells"	"Normal"
"Cell_961"	"B.cells"	"Tumor"
"Cell_962"	"B.cells"	"Tumor"
"Cell_963"	"B.cells"	"Tumor"
"Cell_964"	"B.cells"	"Tumor"
"Cell_965"	"B.cells"	"Tumor"
"Cell_966"	"B.cells"	"Normal"
"Cell_967"	"B.cells"	"Tumor"
"Cell_968"	"B.cells"	"Tumor"
"Cell_969"	"B.cells"	"Tumor"
"Cell_970"	"B.cells"	"Tumor"
"Cell_971"	"B.cells"	"Tumor"
"Cell_972"	"B.cells"	"Tumor"
"Cell_973"	"B.cells"	"Normal"
"Cell_974"	"B.cells"	"Tumor"
"Cell_975"	"B.cells"	"Tumor"
"Cell_976"	"B.cells"	"Tumor"
"Cell_977"	"B.cells"	"Tumor"
"Cell_978"	"B.cells"	"Tumor"
"Cell_979"	"B.cells"	"Tumor"
"Cell_980"	"B.cells"	"Tumor"
"Cell_981"	"B.cells"	"Tumor"
"Cell_982"	"B.cells"	"Tumor"
"Cell_983"	"B.cells"	"Normal"
"Cell_984"	"B.cells"	"Tumor"
"Cell_985"	"B.cells"	"Tumor"
"Cell_986"	"B.cells"	"Tumor"
"Cell_987"	"B.cells"	"Tumor"
"Cell_988"	"B.cells"	"Normal"
"Cell_989"	"B.cells"	"Tumor"
"Cell_990"	"B.cells"	"Tumor"
"Cell_991"	"B.cells"	"Normal"
"Cell_992"	"B.cells"	"Normal"
"Cell_993"	"B.cells"	"Tumor"
"Cell_994"	"B.cells"	"Tumor"
"Cell_995"	"B.cells"	"Tumor"
"Cell_996"	"B.cells"	"Tumor"
"Cell_997"	"B.cells"	"Tumor"
"Cell_998"	"B.cells"	"Tumor"
"Cell_999"	"B.cells"	"Tumor"
"Cell_1000"	"B.cells"	"Normal"
