"ID"	"CellType"	"Tissue"
"Cell_146"	"B.cells"	"Normal"
"Cell_147"	"B.cells"	"Tumor"
"Cell_148"	"B.cells"	"Tumor"
"Cell_149"	"B.cells"	"Tumor"
"Cell_150"	"B.cells"	"Tumor"
"Cell_151"	"B.cells"	"Normal"
"Cell_152"	"B.cells"	"Tumor"
"Cell_153"	"B.cells"	"Tumor"
"Cell_154"	"B.cells"	"Tumor"
"Cell_155"	"B.cells"	"Tumor"
"Cell_156"	"B.cells"	"Tumor"
"Cell_157"	"B.cells"	"Normal"
"Cell_158"	"B.cells"	"Tumor"
"Cell_159"	"B.cells"	"Tumor"
"Cell_160"	"B.cells"	"Tumor"
"Cell_161"	"B.cells"	"Tumor"
"Cell_162"	"B.cells"	"Tumor"
"Cell_163"	"B.cells"	"Tumor"
"Cell_164"	"B.cells"	"Tumor"
"Cell_165"	"B.cells"	"Normal"
"Cell_166"	"B.cells"	"Tumor"
"Cell_167"	"B.cells"	"Normal"
"Cell_168"	"B.cells"	"Tumor"
"Cell_169"	"B.cells"	"Tumor"
"Cell_170"	"B.cells"	"Tumor"
"Cell_171"	"B.cells"	"Tumor"
"Cell_172"	"B.cells"	"Tumor"
"Cell_173"	"B.cells"	"Tumor"
"Cell_174"	"B.cells"	"Normal"
"Cell_175"	"B.cells"	"Tumor"
"Cell_176"	"B.cells"	"Tumor"
"Cell_177"	"B.cells"	"Tumor"
"Cell_178"	"B.cells"	"Tumor"
"Cell_179"	"B.cells"	"Tumor"
"Cell_180"	"B.cells"	"Normal"
"Cell_181"	"B.cells"	"Tumor"
"Cell_182"	"B.cells"	"Tumor"
"Cell_183"	"B.cells"	"Tumor"
"Cell_184"	"B.cells"	"Tumor"
"Cell_185"	"B.cells"	"Tumor"
"Cell_186"	"B.cells"	"Tumor"
"Cell_187"	"B.cells"	"Tumor"
"Cell_188"	"B.cells"	"Normal"
"Cell_189"	"B.cells"	"Normal"
"Cell_190"	"B.cells"	"Tumor"
"Cell_191"	"B.cells"	"Tumor"
"Cell_192"	"B.cells"	"Tumor"
"Cell_193"	"B.cells"	"Normal"
"Cell_194"	"B.cells"	"Normal"
"Cell_195"	"B.cells"	"Tumor"
"Cell_196"	"B.cells"	"Tumor"
"Cell_197"	"B.cells"	"Normal"
"Cell_198"	"B.cells"	"Normal"
"Cell_199"	"B.cells"	"Tumor"
"Cell_200"	"B.cells"	"Normal"
"Cell_201"	"B.cells"	"Tumor"
"Cell_202"	"B.cells"	"Tumor"
"Cell_203"	"B.cells"	"Normal"
"Cell_204"	"B.cells"	"Tumor"
"Cell_205"	"B.cells"	"Normal"
"Cell_206"	"B.cells"	"Tumor"
"Cell_207"	"B.cells"	"Normal"
"Cell_208"	"B.cells"	"Tumor"
"Cell_209"	"B.cells"	"Normal"
"Cell_210"	"B.cells"	"Tumor"
"Cell_211"	"B.cells"	"Normal"
"Cell_212"	"B.cells"	"Normal"
"Cell_213"	"B.cells"	"Tumor"
"Cell_214"	"B.cells"	"Tumor"
"Cell_215"	"B.cells"	"Tumor"
"Cell_216"	"B.cells"	"Tumor"
"Cell_217"	"B.cells"	"Tumor"
"Cell_218"	"B.cells"	"Tumor"
"Cell_219"	"B.cells"	"Normal"
"Cell_220"	"B.cells"	"Tumor"
"Cell_221"	"B.cells"	"Tumor"
"Cell_222"	"B.cells"	"Tumor"
"Cell_223"	"B.cells"	"Tumor"
"Cell_224"	"B.cells"	"Normal"
"Cell_225"	"B.cells"	"Tumor"
"Cell_226"	"B.cells"	"Tumor"
"Cell_227"	"B.cells"	"Tumor"
"Cell_228"	"B.cells"	"Tumor"
"Cell_229"	"B.cells"	"Tumor"
"Cell_230"	"B.cells"	"Normal"
"Cell_231"	"B.cells"	"Normal"
"Cell_232"	"B.cells"	"Normal"
"Cell_233"	"B.cells"	"Normal"
"Cell_234"	"B.cells"	"Tumor"
"Cell_235"	"B.cells"	"Normal"
"Cell_236"	"B.cells"	"Tumor"
"Cell_237"	"B.cells"	"Normal"
"Cell_238"	"B.cells"	"Tumor"
"Cell_239"	"B.cells"	"Tumor"
"Cell_240"	"B.cells"	"Tumor"
"Cell_241"	"B.cells"	"Tumor"
"Cell_242"	"B.cells"	"Tumor"
"Cell_243"	"B.cells"	"Tumor"
"Cell_244"	"B.cells"	"Tumor"
"Cell_245"	"B.cells"	"Tumor"
"Cell_246"	"B.cells"	"Tumor"
"Cell_247"	"B.cells"	"Normal"
"Cell_248"	"B.cells"	"Tumor"
"Cell_249"	"B.cells"	"Normal"
"Cell_250"	"B.cells"	"Tumor"
"Cell_251"	"B.cells"	"Tumor"
"Cell_252"	"B.cells"	"Normal"
"Cell_253"	"B.cells"	"Tumor"
"Cell_254"	"B.cells"	"Tumor"
"Cell_255"	"B.cells"	"Tumor"
"Cell_256"	"B.cells"	"Tumor"
"Cell_257"	"B.cells"	"Tumor"
"Cell_258"	"B.cells"	"Tumor"
"Cell_259"	"B.cells"	"Tumor"
"Cell_260"	"B.cells"	"Tumor"
"Cell_261"	"B.cells"	"Tumor"
"Cell_262"	"B.cells"	"Tumor"
"Cell_263"	"B.cells"	"Normal"
"Cell_264"	"B.cells"	"Normal"
"Cell_265"	"B.cells"	"Tumor"
"Cell_266"	"B.cells"	"Tumor"
"Cell_267"	"B.cells"	"Tumor"
"Cell_268"	"B.cells"	"Normal"
"Cell_269"	"B.cells"	"Tumor"
"Cell_270"	"B.cells"	"Normal"
"Cell_271"	"B.cells"	"Normal"
"Cell_272"	"B.cells"	"Normal"
"Cell_273"	"B.cells"	"Tumor"
"Cell_274"	"B.cells"	"Normal"
"Cell_275"	"B.cells"	"Tumor"
"Cell_276"	"B.cells"	"Tumor"
"Cell_277"	"B.cells"	"Tumor"
"Cell_278"	"B.cells"	"Tumor"
"Cell_279"	"B.cells"	"Tumor"
"Cell_280"	"B.cells"	"Tumor"
"Cell_281"	"B.cells"	"Normal"
"Cell_282"	"B.cells"	"Tumor"
"Cell_283"	"B.cells"	"Tumor"
"Cell_284"	"B.cells"	"Tumor"
"Cell_285"	"B.cells"	"Normal"
"Cell_286"	"B.cells"	"Normal"
"Cell_287"	"B.cells"	"Normal"
"Cell_288"	"B.cells"	"Tumor"
"Cell_289"	"B.cells"	"Tumor"
"Cell_290"	"B.cells"	"Normal"
"Cell_291"	"B.cells"	"Normal"
"Cell_292"	"B.cells"	"Normal"
"Cell_293"	"B.cells"	"Tumor"
"Cell_294"	"B.cells"	"Tumor"
"Cell_295"	"B.cells"	"Tumor"
"Cell_296"	"B.cells"	"Normal"
"Cell_297"	"B.cells"	"Tumor"
"Cell_298"	"B.cells"	"Tumor"
"Cell_299"	"B.cells"	"Tumor"
"Cell_300"	"B.cells"	"Tumor"
"Cell_301"	"B.cells"	"Tumor"
"Cell_302"	"B.cells"	"Tumor"
"Cell_303"	"B.cells"	"Tumor"
"Cell_304"	"B.cells"	"Normal"
"Cell_305"	"B.cells"	"Tumor"
"Cell_306"	"B.cells"	"Tumor"
"Cell_307"	"B.cells"	"Normal"
"Cell_308"	"B.cells"	"Tumor"
"Cell_309"	"B.cells"	"Normal"
"Cell_310"	"B.cells"	"Normal"
"Cell_311"	"B.cells"	"Tumor"
"Cell_312"	"B.cells"	"Tumor"
"Cell_313"	"B.cells"	"Normal"
"Cell_314"	"B.cells"	"Tumor"
"Cell_315"	"B.cells"	"Normal"
"Cell_316"	"B.cells"	"Normal"
"Cell_317"	"B.cells"	"Normal"
"Cell_318"	"B.cells"	"Normal"
"Cell_319"	"B.cells"	"Normal"
"Cell_320"	"B.cells"	"Tumor"
"Cell_321"	"B.cells"	"Tumor"
"Cell_322"	"B.cells"	"Tumor"
"Cell_323"	"B.cells"	"Tumor"
"Cell_324"	"B.cells"	"Tumor"
"Cell_325"	"B.cells"	"Tumor"
"Cell_326"	"B.cells"	"Tumor"
"Cell_327"	"B.cells"	"Normal"
"Cell_328"	"B.cells"	"Tumor"
"Cell_329"	"B.cells"	"Tumor"
"Cell_330"	"B.cells"	"Tumor"
"Cell_331"	"B.cells"	"Tumor"
"Cell_332"	"B.cells"	"Tumor"
"Cell_333"	"B.cells"	"Tumor"
"Cell_334"	"B.cells"	"Normal"
"Cell_335"	"B.cells"	"Normal"
"Cell_336"	"B.cells"	"Normal"
"Cell_337"	"B.cells"	"Tumor"
"Cell_338"	"B.cells"	"Tumor"
"Cell_339"	"B.cells"	"Tumor"
"Cell_340"	"B.cells"	"Tumor"
"Cell_341"	"B.cells"	"Tumor"
"Cell_342"	"B.cells"	"Tumor"
"Cell_343"	"B.cells"	"Tumor"
"Cell_344"	"B.cells"	"Tumor"
"Cell_345"	"B.cells"	"Tumor"
"Cell_346"	"B.cells"	"Normal"
"Cell_347"	"B.cells"	"Tumor"
"Cell_348"	"B.cells"	"Tumor"
"Cell_349"	"B.cells"	"Tumor"
"Cell_350"	"B.cells"	"Tumor"
"Cell_351"	"B.cells"	"Tumor"
"Cell_352"	"B.cells"	"Tumor"
"Cell_353"	"B.cells"	"Tumor"
"Cell_354"	"B.cells"	"Tumor"
"Cell_355"	"B.cells"	"Tumor"
"Cell_356"	"B.cells"	"Tumor"
"Cell_357"	"B.cells"	"Tumor"
"Cell_358"	"B.cells"	"Normal"
"Cell_359"	"B.cells"	"Tumor"
"Cell_360"	"B.cells"	"Normal"
"Cell_361"	"B.cells"	"Tumor"
"Cell_362"	"B.cells"	"Tumor"
"Cell_363"	"B.cells"	"Tumor"
"Cell_364"	"B.cells"	"Normal"
"Cell_365"	"B.cells"	"Tumor"
"Cell_366"	"B.cells"	"Normal"
"Cell_367"	"B.cells"	"Tumor"
"Cell_368"	"B.cells"	"Tumor"
"Cell_369"	"B.cells"	"Tumor"
"Cell_370"	"B.cells"	"Tumor"
"Cell_371"	"B.cells"	"Tumor"
"Cell_372"	"B.cells"	"Tumor"
"Cell_373"	"B.cells"	"Tumor"
"Cell_374"	"B.cells"	"Tumor"
"Cell_375"	"B.cells"	"Tumor"
"Cell_376"	"B.cells"	"Tumor"
"Cell_377"	"B.cells"	"Tumor"
"Cell_378"	"B.cells"	"Normal"
"Cell_379"	"B.cells"	"Tumor"
"Cell_380"	"B.cells"	"Tumor"
"Cell_381"	"B.cells"	"Tumor"
"Cell_382"	"B.cells"	"Tumor"
"Cell_383"	"B.cells"	"Normal"
"Cell_384"	"B.cells"	"Tumor"
"Cell_385"	"B.cells"	"Tumor"
"Cell_386"	"B.cells"	"Tumor"
"Cell_387"	"B.cells"	"Normal"
"Cell_388"	"B.cells"	"Tumor"
"Cell_389"	"B.cells"	"Normal"
"Cell_390"	"B.cells"	"Tumor"
"Cell_391"	"B.cells"	"Tumor"
"Cell_392"	"B.cells"	"Tumor"
"Cell_393"	"B.cells"	"Normal"
"Cell_394"	"B.cells"	"Tumor"
"Cell_395"	"B.cells"	"Normal"
"Cell_396"	"B.cells"	"Tumor"
"Cell_397"	"B.cells"	"Tumor"
"Cell_398"	"B.cells"	"Normal"
"Cell_399"	"B.cells"	"Tumor"
"Cell_400"	"B.cells"	"Tumor"
"Cell_401"	"B.cells"	"Tumor"
"Cell_402"	"B.cells"	"Normal"
"Cell_403"	"B.cells"	"Tumor"
"Cell_404"	"B.cells"	"Tumor"
"Cell_405"	"B.cells"	"Normal"
"Cell_406"	"B.cells"	"Tumor"
"Cell_407"	"B.cells"	"Tumor"
