"IS01"	"IS02"	"IS03"	"IS04"
"MMP12__pos"	4.43391459525633	5.05096572188218	9.19643782439568	4.41244029291492
"IL10__pos"	4.05263756259163	4.27216347036457	8.10418996588155	1.48287079086552
"MARCO__pos"	2.22044604925031e-16	0.463864507490845	17.6250432955784	4.72936181909987
"IL8__pos"	1.65405797563787	2.22044604925031e-16	5.05438507111714	14.2632309661771
"ISG15__pos"	6.55223009022924	1.66244602325139	12.318391964079	3.59582010955233
"LILRA3__pos"	0.714047133931592	2.31691263328325	21.0131775952099	0.662853250491176
"PLS1__pos"	6.36200709180601	8.21354708804428	2.1869039438703	7.02162967148844
"CR1__pos"	2.53883788645076	6.64558499393257	7.2551476120003	6.72879035138751
"EMR1__pos"	0.664828992558736	2.94057779512448	13.891349584693	2.95609639617396
"TCF21__pos"	2.69349022936342	0.651527491064338	1.34779619080215	18.2958648230322
"TMTC1__pos"	0.292518459591177	3.56620048968699	3.36569905033001	14.6965252155917
"C15orf48__pos"	2.78297833075875	2.22044604925031e-16	12.0615635070336	10.2665194601351
"PITPNM3__pos"	2.22044604925031e-16	9.86066853360525	1.16194720982719	13.1861581138951
"GDPD2__pos"	2.22044604925031e-16	10.3487202936759	0.391542628071111	10.9437152613294
"SLC8A1__pos"	1.73293559515712	3.53127936572961	11.4222437536187	6.1360109148369
"PCDH17__pos"	1.50089984049162	2.99934323343731	1.33142427050141	14.7489616086908
"CCL8__pos"	0.433658575068692	2.22044604925031e-16	23.9200086127061	0.45527664577056
"CXCL1__pos"	0.639696285590388	0.36687723535892	5.17083605444197	13.4178264061012
"SIGLEC9__pos"	0.293346335658715	4.27427110607595	13.5525921449921	4.31380671099985
"GPR116__pos"	1.02589673645962	1.85470189037153	0.587964621046361	14.4159712283422
"ENTPD2__pos"	2.22044604925031e-16	4.00262770111087	4.93292338404289	13.1174515156425
"HSD3B2__pos"	1.36909056120274	8.80032791450703	1.25799327762149	9.3078120584349
"CSF2__pos"	2.58663443405731	4.10369367285186	12.6635208292075	6.64315070369946
"ADRA1A__pos"	0.206790773907345	9.34373156202109	6.02113606171692	6.60416781559249
"SERPINB4__pos"	2.22044604925031e-16	7.03489022705047	0.8833455624367	13.8130436640645
"CSF3R__pos"	0.126625397124365	0.394552135634704	16.5066053992922	7.59065516689476
"CXCL5__pos"	3.20989155013667	2.0077073768646	3.19939709853875	12.2821528913971
"DOCK5__pos"	2.22044604925031e-16	2.48133121640178	13.0716842608758	9.49753058869991
"DCLK3__pos"	0.973945967012944	5.72789706201075	2.22044604925031e-16	16.9604915781427
"CPD__pos"	1.70388924961236	4.13810881324381	4.68020955789118	9.78766777380834
"KRT8__pos"	1.69632401457797e-10	0.365027155873231	2.22044604925031e-16	15.5769765629457
"FLRT3__pos"	2.59173626880584	3.09142456079494	1.24547214540921	13.3265019500541
"TNFAIP6__pos"	2.70996427420175	2.22044604925031e-16	8.34665922492216	11.5142007614882
"CD93__pos"	2.22044604925031e-16	3.57495052989328	1.52056660125955	14.1889561747531
"MERTK__pos"	2.22044604925031e-16	3.83563696280674	8.44365981057048	10.3924505309239
"RSAD2__pos"	2.87330334031007	1.75317250519384	11.5142470936451	5.36340942365905
"GPIHBP1__pos"	2.83827830337775	5.25914183531325	2.79240011026419	12.4162848965627
"S100B__pos"	3.82642642173327	3.7633825213509	7.52626848944229	5.3173538589952
"WDR63__pos"	2.27556332549209	10.9959451591173	2.85110938284191	2.94382120912886
"C9orf46__pos"	9.0557643813084	3.12652990803194	4.58436996508033	4.42732907026206
"STARD8__pos"	2.22044604925031e-16	1.79389852380603	12.6115568732896	7.27126386790864
"PPBP__pos"	2.22301167981616	1.58203792753858	1.13862720345284	12.989581882553
"PDGFRA__pos"	0.595373417656184	0.394270582348382	2.04276400195988	16.9181568260377
"ELTD1__pos"	2.08215380602893	2.68913802383366	2.2706517622418	13.9566754520346
"MEGF9__pos"	1.90706868630955	6.19613638826485	6.15704265571459	7.04529827947148
"SLC6A4__pos"	0.555441825396265	4.22890007308203	1.79747792546514	11.1881918930264
"GLDN__pos"	0.0803923005504357	2.47957286727712	11.7316282751413	8.37160237996248
"ADM__pos"	3.30350533238932	4.16770070607138	6.82010955112943	5.30486352063628
"CXCL2__pos"	0.803902285140546	2.92850571750327	7.14753811742544	8.04001084836798
