"TCGA.37.A5EN.01A.21R.A26W.07"	"TCGA.37.4133.01A.01R.1100.07"	"TCGA.77.7465.01A.11R.2045.07"	"TCGA.34.5240.01A.01R.1443.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.62.8398.01A.11R.2326.07"	"TCGA.78.7161.01A.11R.2039.07"	"TCGA.55.A48Y.01A.11R.A24H.07"	"TCGA.NC.A5HM.01A.12R.A26W.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.62.A470.01A.11R.A24H.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.73.4677.01A.01R.1206.07"	"TCGA.35.4122.01A.01R.1107.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.44.7671.01A.11R.2066.07"	"TCGA.63.5131.01A.01R.1443.07"	"TCGA.50.5044.01A.21R.1858.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.73.4670.01A.01R.1206.07"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"TCGA.94.8490.01A.11R.2326.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.63.7023.01A.11R.1949.07"	"TCGA.MP.A4T7.01A.11R.A24X.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.37.A5EL.01A.11R.A26W.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.50.5932.01A.11R.1755.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.66.2781.01A.01R.0851.07"	"TCGA.52.7810.01A.11R.2125.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.75.7031.01A.11R.1949.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.43.5670.01A.21R.2125.07"	"TCGA.18.3417.01A.01R.1443.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.22.4613.01A.01R.1443.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.18.3406.01A.01R.0980.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.98.8021.01A.11R.2247.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.55.A492.01A.11R.A24H.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.94.7557.01A.11R.2125.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.22.5473.01A.01R.1635.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.55.8094.01A.11R.2241.07"	"TCGA.50.7109.01A.11R.2039.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.85.8070.01A.11R.2247.07"	"TCGA.85.A4CL.01A.41R.A26W.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.63.A5MB.01A.11R.A26W.07"	"TCGA.L3.A524.01A.11R.A262.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.49.4514.01A.21R.1858.07"	"TCGA.50.5066.01A.01R.1628.07"	"TCGA.56.8308.01A.11R.2296.07"	"TCGA.37.4132.01A.01R.1100.07"	"TCGA.66.2795.01A.02R.0980.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.63.5128.01A.01R.1443.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.78.7167.01A.11R.2066.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.85.8052.01A.11R.2247.07"	"TCGA.05.4397.01A.01R.1206.07"	"TCGA.63.A5MI.01A.12R.A27Q.07"	"TCGA.50.5931.01A.11R.1755.07"	"TCGA.34.5241.01A.01R.1443.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.51.4080.01A.01R.1100.07"	"TCGA.58.8390.01A.11R.2326.07"	"TCGA.33.4566.01A.01R.1443.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.NJ.A7XG.01A.12R.A39D.07"	"TCGA.50.6673.01A.11R.1949.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.58.8391.01A.11R.2326.07"	"TCGA.85.7843.01A.11R.2125.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.22.5471.01A.01R.1635.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.NC.A5HD.01A.11R.A26W.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.56.5898.01A.11R.1635.07"	"TCGA.56.7731.01A.11R.2125.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.43.A56V.01A.11R.A26W.07"	"TCGA.58.A46N.01A.11R.A24H.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.21.5786.01A.01R.1635.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.NC.A5HL.01A.11R.A26W.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.O2.A52S.01A.11R.A262.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.95.7948.01A.11R.2187.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.85.7697.01A.11R.2125.07"	"TCGA.NJ.A4YG.01A.22R.A262.07"	"TCGA.77.8009.01A.11R.2187.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.60.2719.01A.01R.0851.07"	"TCGA.38.4631.01A.01R.1755.07"	"TCGA.NC.A5HG.01A.11R.A26W.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.22.5483.01A.01R.1820.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.85.8351.01A.11R.2296.07"	"TCGA.75.6206.01A.11R.1755.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.33.4547.01A.01R.1201.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"TCGA.NC.A5HR.01A.21R.A26W.07"	"TCGA.39.5035.01A.01R.1443.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.70.6723.01A.11R.1820.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.55.7570.01A.11R.2039.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.55.7913.01B.11R.2241.07"	"TCGA.55.8090.01A.11R.2241.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.05.4410.01A.21R.1858.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4591.01A.01R.1201.07"	"TCGA.NC.A5HH.01A.11R.A26W.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.64.5774.01A.01R.1628.07"	"TCGA.66.2768.01A.01R.0851.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.77.8128.01A.11R.2247.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.95.8494.01A.11R.2326.07"	"TCGA.44.4112.01A.01R.1107.07"	"TCGA.94.8491.01A.11R.2326.07"	"TCGA.78.7147.01A.11R.2039.07"	"TCGA.96.8170.01A.11R.2296.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.97.7937.01A.11R.2170.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.66.2759.01A.01R.0851.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.66.2786.01A.01R.0851.07"	"TCGA.4B.A93V.01A.11R.A39D.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.39.5021.01A.01R.1443.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.18.3411.01A.01R.0980.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.63.A5MU.01A.11R.A26W.07"	"TCGA.51.4079.01A.01R.1100.07"	"TCGA.75.5146.01A.01R.1628.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.NK.A7XE.01A.12R.A405.07"	"TCGA.64.5775.01A.01R.1628.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.33.6738.01A.11R.1949.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.33.4586.01A.01R.1443.07"	"TCGA.56.7822.01A.11R.2125.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.38.4628.01A.01R.1206.07"	"TCGA.85.7710.01A.11R.2125.07"
"S01"	0.00226414596709047	7.39822815679933e-15	0.0267880567663476	9.07440725995711e-15	0.231799108887936	0.0511742057120922	7.20564523987331e-15	9.84015153588646e-15	0.00794140911193123	0.00895437535693576	9.27599146886461e-15	0.276175859103066	0.0554947610700441	0.0783817675494439	0.00147167129994952	0.00984585578536353	0.161040084293865	0.0511260435829599	9.13677045114474e-15	9.31969271548159e-15	0.00180599939474922	0.0720651073992107	0.0589704166508163	8.60890841770101e-15	0.0931946607575351	8.08692276350269e-15	1.02329492833282e-14	6.11082208279624e-15	0.358303221731599	0.167152350403133	8.19734456492788e-15	0.00425066503045337	0.313216832816553	5.89820303393368e-15	0.272929876134154	9.30049148744706e-15	0.181005139345066	9.16813313805197e-15	0.000259994782672076	0.0534506327223329	5.71579935183809e-15	1.72768653165813e-14	0.00864759597021627	0.0558160917608261	0.0170328203717935	0.00605937770800186	0.116444531888501	0.185032572697434	1.03826178035301e-14	0.0036250127153981	0.00246252730046931	0.0847244094427442	0.0093420978373264	0.002500097737855	6.27695179885223e-15	0.00285965740311038	0.0638158174467862	0.0959654121089749	0.137906711668805	0.353704813662165	0.000606018890984231	0.167969845738004	0.0254684340998347	0.205700534460979	0.0750597039743197	0.112797868591306	0.0235446967502899	0.0474594821747864	0.0101788509006771	0.242973262236381	7.21257998905933e-15	0.275814974279359	0.201700659896586	0.4556317080185	6.3951984924935e-15	0.0620118071744881	0.0673077313398487	1.00735413773376e-14	0.0809301779641657	0.232894730648736	9.18697991508733e-15	0.0448363964403434	0.171958113833105	0.279904735907154	5.69612859450428e-15	0.0339611994081346	0.0129734276713524	0.0655808612909475	0.155892728941536	0.0285265257144403	1.30285919443371e-14	0.136242233999102	0.0110868635652003	5.72622944154084e-15	8.37048181074375e-15	0.0714949252323329	9.82974312644797e-15	7.99824389151621e-15	0.109484145300941	6.87165626033898e-15	0.0249695941513492	0.0305267415378396	0.0014618934950999	1.06585471222391e-14	0.0449278311931721	0.133898607586034	7.1564478807864e-15	0.0560701546178225	7.62729763599844e-15	0.1797148148984	0.0107685476419137	6.19736563802742e-15	7.1890276209285e-15	6.59378788824714e-15	0.0330373344499404	0.104747703307582	7.22910510152521e-15	0.0266352293397131	6.77607110336187e-15	0.0118177096041647	6.33434219227508e-15	0.0210731994533721	0.0229605748910004	7.68416901902293e-15	0.0109620448871706	7.48416261317353e-15	1.0144047812203e-14	0.0287026738993013	0.017072653932497	0.19288784223156	0.115303392939945	0.265673269255408	6.33259811602268e-15	0.402874693586548	0.0116484058767025	1.37571008137869e-14	0.0255075849376238	0.0277490200777018	0.171712249094755	9.51532613170839e-15	0.00249813025646399	0.00823228209597187	0.0169547108719589	0.0429383727391712	0.282675985298343	0.00568788498053378	0.265126006865103	0.0397481352291262	0.0767523479759813	0.27273050576972	0.00834872995495676	0.0764289739784416	4.76877166215328e-07	6.93151604276348e-15	0.00094427928343402	0.024216612392223	0.0164328923696405	0.0191829935610513	0.00919480246852012	0.207812981878251	0.0286144008024479	8.74745158786518e-15	7.737925443467e-15	0.0961645968237833	0.383636247857938	5.0985823322913e-15	1.04830109612467e-14	7.48554825949265e-15	5.86489718027905e-15	0.0635985184019437	9.35908020140975e-15	0.0793106028462823	1.00088409761105e-14	9.50804478679072e-15	0.0916422542697418	0.177301376644759	0.00396741651405614	0.136430078919397	9.36035287630351e-15	0.0018970581631937	0.0240808729325482	0.102732799086724	0.0319651394416602	0.0157228956429601	6.24922277427806e-15	0.101297853953319	7.7608355783025e-15	7.19252132561209e-15	0.0218925151259454	0.0106411228314746	0.0532572721819203	0.206295941008749	0.188505624519567	0.152995047183092	0.180712133122631	0.177776240396308	9.09622660603568e-15	6.62476424580182e-15	0.0988263502826338	0.00513126775426785	7.31286329555266e-15	0.0357979460056025	0.189510478469165	0.0419782025066155	7.37099147004097e-15	0.093373481364366	0.0941188807143858	0.0223903521258141	0.0231799485022927	0.0176218847512305	9.08482203121841e-15	0.0170556775898588	0.252819388852664	8.99979228932783e-15	0.110935737478788	9.91989079283946e-15	0.074715594787873	1.19702993547681e-14	6.95415185139785e-15	0.204351659197712	0.206919187419042	0.0198046179592255	0.0323265023803333	0.0791137087773269	9.28633786189117e-15	0.0783502483363357	6.40565391562691e-15	1.06697658148789e-14	0.0905560853149962	0.290356718478806	0.194872396458834	0.000534107819670316	5.72674834430929e-15	0.113270806351537	0.00883899890553918	0.102967359246381	0.0101568373157875	0.181910611821498	0.0941418266689752	0.208621347740437	0.21092999276046	0.0588029687820178	7.58959801714703e-15	9.79363136824493e-15	0.140937149739737	8.51481421506328e-15	0.0197479183306486	9.35027003043962e-07	7.75123160581586e-15	1.07893173221587e-14
"S02"	7.75830625288616e-15	7.39822815679933e-15	8.19078946881959e-15	0.00142777776583161	0.106953643917411	1.16211513738155e-14	7.20564523987331e-15	9.84015153588646e-15	7.17076051184911e-15	7.03092815479992e-15	0.195897996383668	0.0324163429116343	5.77023129238839e-15	0.41807742017552	0.0235393509419648	0.0563306636541013	0.124687435757542	0.00997364411672273	9.13677045114474e-15	9.31969271548159e-15	7.6551470365389e-15	0.688719587918907	6.75538676202081e-15	8.60890841770101e-15	8.39724515097333e-15	8.08692276350269e-15	0.000124209066241157	0.000874374206193741	7.51445161611972e-09	0.0390258434574672	8.19734456492788e-15	0.170696530930628	0.168054699471509	5.89820303393368e-15	0.071028364525747	0.0115688828655028	1.05243042836625e-14	9.16813313805197e-15	5.80976701589654e-15	0.0925178331548677	5.71579935183809e-15	0.500086437612453	0.177657680919822	0.461197339099341	8.94765637979252e-15	0.0272765515327433	0.577044966175597	0.344413820371021	0.00355513607644788	6.25941207933268e-15	8.02181650635946e-15	7.27234180022699e-15	9.78152100661352e-15	9.92042054678723e-15	6.27695179885223e-15	0.493835833820435	0.562214300341803	0.0490737171669828	0.38505100773848	8.14852109382192e-15	7.94501603867504e-15	6.46981177174542e-15	1.08800242951102e-14	0.0839528972702645	1.05783272802805e-14	0.0127309207330954	0.00146918322119628	9.50704293859058e-15	1.02458277876083e-14	0.068475189764811	7.21257998905933e-15	6.71394769126432e-15	2.58346989861375e-10	0.0213662071216849	6.3951984924935e-15	0.0114413969296808	1.03892317239611e-14	0.0226844661189713	0.184776064426722	0.21309915146078	9.18697991508733e-15	0.311173720984069	9.45795361252081e-15	0.0996120868526297	5.69612859450428e-15	1.11273017880428e-14	0.000532101764639609	0.617917030216084	0.45242999274188	7.89368477070437e-15	1.30285919443371e-14	0.46600925183746	0.537666371213524	5.72622944154084e-15	8.37048181074375e-15	0.000268805621843839	9.82974312644797e-15	7.99824389151621e-15	0.379629301913827	6.87165626033898e-15	6.99288397015826e-15	1.23729020882e-14	9.24377617395852e-15	1.06585471222391e-14	0.0111887860860322	8.60631806591872e-15	7.1564478807864e-15	0.679277554875741	7.62729763599844e-15	0.0179546325777974	8.47179589159852e-07	6.19736563802742e-15	0.00382802384236555	0.0247586204966537	1.00786850108659e-14	0.591999092180529	0.000195221275321228	8.85389726415395e-15	6.77607110336187e-15	0.747813582288732	6.33434219227508e-15	0.0814520091531163	1.7571507404254e-05	7.68416901902293e-15	9.38147747234313e-15	7.48416261317353e-15	1.0144047812203e-14	0.215114623347113	0.0904423952242468	0.00859891070999725	0.143708187738579	7.30911765238235e-15	6.33259811602268e-15	0.0481897446541509	7.97230186525667e-15	0.0649795317151365	0.110440937976164	1.09648458174742e-14	0.531297400367615	9.51532613170839e-15	6.49953085139952e-15	0.0131947703074282	0.0154379450894722	0.0196629018341148	1.61289237846461e-11	9.16131079904665e-15	8.31994168651119e-15	0.0357250956362282	0.522666559973412	0.148416099194473	9.37300988180521e-15	1.05938983451481e-14	8.32575732843837e-15	1.91491063836938e-13	7.49318552426581e-15	9.84610566170976e-15	9.3128212910244e-15	0.145441477107071	8.84374271823649e-15	6.44407204788062e-15	1.11782547299915e-14	0.390171472629738	0.00464438538436845	0.435713644787461	1.50256554686586e-09	0.578554480638833	0.0257315855121145	7.48554825949265e-15	5.86489718027905e-15	0.548859783676346	9.35908020140975e-15	0.0100273510777475	0.00238790606250396	0.153844856128646	0.627186257698784	0.0133045106321433	1.23454409010415e-14	6.87309729987071e-15	9.36035287630351e-15	7.81379906309031e-15	1.05939985100613e-14	7.61643403307e-15	0.259964259746349	0.173054906405979	6.24922277427806e-15	1.26928298321596e-14	0.000927712792530266	7.19252132561209e-15	0.016472038389333	0.0798777586804287	7.4857476519632e-15	0.00197612296514973	1.27241599345402e-11	0.0481845086414154	0.00338553705740524	0.082300296675083	9.09622660603568e-15	6.62476424580182e-15	0.165042377481906	7.90698866920529e-15	7.31286329555266e-15	7.06904705013974e-15	0.0214225483571081	0.49835861909032	0.00127853682829278	7.12693305340586e-15	9.56006570744938e-15	0.105140429921168	0.016691784309249	0.0071745773498025	0.0165021986660379	0.193590105343679	0.0186080325934446	0.0138140886592424	0.392945694349397	9.91989079283946e-15	0.198263190399373	0.298088861843345	6.95415185139785e-15	8.51823868734536e-15	0.0709307727105584	0.00539629791538656	0.141572990684552	0.0383603050913948	9.28633786189117e-15	0.609053174081532	6.40565391562691e-15	0.000144454480394771	0.067066658854512	1.98112915758356e-08	8.22407171191984e-15	6.18002193709337e-15	5.72674834430929e-15	0.0250368519938347	8.41373891503936e-15	0.557767403439342	6.97025363354904e-15	0.129384194775297	0.318787033983111	0.30433478265246	0.00440931087238702	0.64852441156656	7.58959801714703e-15	0.00201741857678511	0.0609139374941715	3.97439734051043e-09	6.30283512524856e-15	0.447101845877579	0.237707984405718	1.07893173221587e-14
"S03"	5.70992593565993e-09	0.01563923131485	0.141685380744334	0.0151900156472194	8.78109509159842e-15	0.0728046202486373	7.20564523987331e-15	9.84015153588646e-15	0.00284946616522949	7.03092815479992e-15	9.27599146886461e-15	1.04889252339417e-14	0.0870941305106421	4.20057812687764e-11	1.00491901261166e-14	0.257141448667863	0.0825006298887016	0.430902839558232	9.13677045114474e-15	9.31969271548159e-15	0.0139385246944194	0.0209953122019046	0.10114412709462	0.117962683006223	0.101083666172539	8.08692276350269e-15	0.0518636459008749	6.11082208279624e-15	0.246508967248473	0.381566316733587	8.19734456492788e-15	1.05916423475818e-14	0.124156483203606	5.89820303393368e-15	8.95505599652872e-15	9.30049148744706e-15	0.171734245604988	0.00224598712239791	5.80976701589654e-15	9.26421919415824e-15	5.71579935183809e-15	5.65615417691481e-15	1.0039890279075e-07	0.0618307774096625	3.78161196843439e-07	0.0717207915260184	0.0269730385544672	0.0395878493340821	0.00570769376917437	6.25941207933268e-15	8.02181650635946e-15	0.370405218846473	9.78152100661352e-15	0.017343048983321	6.27695179885223e-15	5.82480797431305e-15	4.65925241308155e-15	0.321931222107822	0.0118765522047081	0.0364365233753261	7.94501603867504e-15	0.172028725524968	0.133459650806806	0.177096671903877	0.305213823672974	0.0181610735135329	0.0264060666761131	9.50704293859058e-15	1.02458277876083e-14	0.1277815315695	7.21257998905933e-15	6.71394769126432e-15	0.406615514702452	0.0723648561821838	6.3951984924935e-15	0.144909006190081	0.0898838850499569	1.00735413773376e-14	5.97723727010188e-15	2.70567699109211e-09	9.18697991508733e-15	5.23042345547685e-15	0.226500673079514	0.240275832043995	5.69612859450428e-15	0.0754364270287749	0.0500762132237657	4.74152990831292e-15	1.35315775892605e-14	0.0150774095448144	0.0517770785133568	0.025418996938362	6.0971461295389e-15	5.72622944154084e-15	0.038776031339952	0.0225939436163503	0.00306786993286991	0.000973128771594128	0.208606415627207	0.00438774484905313	0.280835454822799	1.23729020882e-14	0.0935251072316196	0.102957841281533	0.397043412333656	0.158881924848888	7.1564478807864e-15	5.05491167695675e-15	7.62729763599844e-15	0.30053158454341	1.16425835389283e-14	0.0824555480038092	7.1890276209285e-15	6.59378788824714e-15	0.0695286140078315	5.73582275211343e-07	0.00406371762268158	0.00703835646792302	0.0709515716863172	4.25606917716673e-15	6.33434219227508e-15	0.0188170287461879	0.133233077713326	0.00120144250263123	9.38147747234313e-15	7.48416261317353e-15	0.120130098898069	9.1891329974103e-15	2.91959095952367e-06	0.00885766479123434	0.0516288142682661	0.0939359857296714	6.33259811602268e-15	0.0133578802975386	8.38826001673094e-09	0.00244537150089312	7.3443229870739e-11	0.179531310747317	0.00927342396585926	9.51532613170839e-15	6.49953085139952e-15	1.05184321029246e-14	0.0438945483152455	8.72223456425932e-15	0.408768605285026	9.16131079904665e-15	0.259445269952668	7.71268324572453e-15	4.25856639051023e-15	0.0656671123883474	0.150917141530659	1.05938983451481e-14	0.235674250790021	0.225793283708082	7.49318552426581e-15	0.165814477897681	0.00907313924170268	0.0637844253553411	0.0178311529251884	0.437886180973245	1.11782547299915e-14	8.74745158786518e-15	0.0011281871774177	0.135257765299976	6.98384677772996e-15	5.0985823322913e-15	1.04830109612467e-14	7.48554825949265e-15	5.86489718027905e-15	4.55833817677104e-15	0.0518451166995093	0.113476158084954	1.00088409761105e-14	7.85535034476301e-05	4.14429699841561e-15	0.340372669656731	1.23454409010415e-14	0.216709267614588	9.36035287630351e-15	7.81379906309031e-15	0.10822620578237	0.218909169452657	7.70938275002997e-15	8.76219143462855e-15	6.24922277427806e-15	1.26928298321596e-14	7.7608355783025e-15	7.19252132561209e-15	7.2006638311437e-15	1.23593313715348e-14	0.0491715459904736	0.0379513002927704	0.258937326673599	0.13883881954769	0.189105742523903	0.257144552702897	9.09622660603568e-15	6.62476424580182e-15	0.0167215709502099	7.90698866920529e-15	0.0145089514816384	0.0666397505812487	0.429914575814375	4.87187594286679e-15	7.37099147004097e-15	0.405485773229504	9.56006570744938e-15	6.95143309371265e-15	0.00564630060066588	1.05158767477771e-14	0.0186370173032274	1.36093791078847e-14	0.155006135476751	8.99979228932783e-15	0.0103612637344272	0.133787248142383	0.0429857117989985	0.063958372326595	0.00528963265201849	0.110809711163208	0.103376303636442	0.198247181687958	2.25758107806569e-05	0.243031311965331	0.0676254757430904	0.00581318378327014	6.40565391562691e-15	0.0142640328223576	1.00428146814163e-14	0.214525119200088	0.00926307317222368	6.18002193709337e-15	0.0350209992448668	0.335282230752454	0.00413975049482721	4.61933965620705e-15	6.97025363354904e-15	0.380978783486257	4.22870251409396e-15	0.0630486522317067	0.107088345078113	4.32518670954024e-15	7.58959801714703e-15	0.00379210762649078	0.0637925086805758	8.51481421506328e-15	0.248569143478161	5.1070412380279e-15	7.75123160581586e-15	0.0243731684251927
