"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"FAM134B"	"FAM134B"	0.956566662614605	0.25228418081342	-0.942008637078683	"S01"	0.956566662614605	"IS01"
"C11orf74"	"C11orf74"	0.934560068229718	0.360228578488471	-0.980492511774827	"S01"	0.934560068229718	"IS01"
"STBD1"	"STBD1"	0.840562015674862	0.496381660449384	-0.973039871787466	"S01"	0.840562015674862	"IS01"
"SDC4"	"SDC4"	0.836006994979052	0.239139592744844	-0.833147690839626	"S01"	0.836006994979052	"IS01"
"GJA1"	"GJA1"	0.816949715330571	0.652100642614465	-1.03543190467608	"S01"	0.816949715330571	"IS01"
"FUT7"	"FUT7"	0.796764866426695	0.000645363710228787	-0.67384913539998	"S01"	0.796764866426695	"IS01"
"COX7A1"	"COX7A1"	0.775972357235926	0.371230041338381	-0.852255918504563	"S01"	0.775972357235926	"IS01"
"LAMP3"	"LAMP3"	0.76445935124832	0.264919640458647	-0.786301955669515	"S01"	0.76445935124832	"IS01"
"TPSB2"	"TPSB2"	0.736402275894998	0.72435234598717	-1.00555502991352	"S01"	0.736402275894998	"IS01"
"SEPW1"	"SEPW1"	0.711405491533268	0.100887058834525	-0.654707151872256	"S01"	0.711405491533268	"IS01"
"LIPG"	"LIPG"	0.708772436866645	0.0779594849619067	-0.640356233883518	"S01"	0.708772436866645	"IS01"
"UPP2"	"UPP2"	0.630294890259745	0.00197161630504347	-0.533832928570625	"S01"	0.630294890259745	"IS01"
"LOC100287814"	"LOC100287814"	0.589801806130347	0.293001828579127	-0.653514579043501	"S01"	0.589801806130347	"IS01"
"FUCA2"	"FUCA2"	0.545838468509232	0.0708234994778367	-0.498853792624931	"S01"	0.545838468509232	"IS01"
"ANGPT2"	"ANGPT2"	0.525783405202138	0.468446379005592	-0.692183024766897	"S01"	0.525783405202138	"IS01"
"RCAN2"	"RCAN2"	0.508981981885144	0.279901439381855	-0.578269221317246	"S01"	0.508981981885144	"IS01"
"LOC100288944"	"LOC100288944"	0.508702226289746	0.132930824415617	-0.500307710284841	"S01"	0.508702226289746	"IS01"
"FLJ40125"	"FLJ40125"	0.371914203589581	0.0861398696846665	-0.359935089986775	"S01"	0.371914203589581	"IS01"
"FAM19A4"	"FAM19A4"	0.344977484293526	0.233090237111314	-0.414879721712583	"S01"	0.344977484293526	"IS01"
"PARP9"	"PARP9"	0.338262039566012	0.0605489916459421	-0.317955140153168	"S01"	0.338262039566012	"IS01"
"TSLP"	"TSLP"	0.319460783995497	0.167279549188378	-0.358506561545117	"S01"	0.319460783995497	"IS01"
