"IS01"	"IS02"	"IS03"
"LAMC2__pos"	17.9259676679987	17.1700903835186	9.44864932415264
"SDC4__pos"	32.5754096208056	2.23736918763642	2.22044604925031e-16
"FLJ40125__pos"	27.6954413158603	1.22225880178283	5.97688392608724
"PLEK2__pos"	27.5990089048028	16.2202157356957	0.814993139320452
"ODZ2__pos"	2.22044604925031e-16	40.3575548338511	2.22044604925031e-16
"FUT7__pos"	32.0006070935597	3.11547704525942	6.56813973072581
"LAMA3__pos"	17.5265411286965	16.8142910994718	9.06619265894924
"PARP9__pos"	18.9217187575366	1.9891975992434	15.4671282199364
"HDC__pos"	26.1778746132713	21.7134827544101	1.05061267327721
"XAGE2__pos"	2.22044604925031e-16	37.8731081680354	2.22044604925031e-16
"CTSG__pos"	23.8737561297111	16.8644851302097	2.17344587581417
"IL24__pos"	7.19496924976703	12.045593760135	20.4052274802199
"OR2A7__pos"	20.9184567834226	19.8084730307193	3.02393384270552
"SEL1L2__pos"	17.6106437762278	14.6219004722465	2.22044604925031e-16
"TPSB2__pos"	26.9705375424336	15.0532354223002	2.3427234672759
"TPSAB1__pos"	23.9084992293687	15.5565223142545	2.22044604925031e-16
"C1orf150__pos"	19.44611733515	22.884497812472	1.51192229886479
"EPPK1__pos"	9.53609387171609	24.4313929561758	11.9451215955013
"LOC100129218__pos"	2.22044604925031e-16	33.4002916187881	8.94642852215078
"LOC653198__pos"	21.4417132472418	1.67728704802976	10.4665141534267
"SLC6A11__pos"	19.759248622643	19.3381470721506	2.22044604925031e-16
"SUB1__pos"	15.4743183117628	3.4659942444928e-13	16.4955283038246
"FERMT1__pos"	13.7318490739018	31.1150475641493	3.23582884076563
"BMP2__pos"	20.4943146491352	19.1930712976327	2.22044604925031e-16
"LOC388248__pos"	24.8502679054677	16.2979228479824	6.0450379788315e-13
"LOC728377__pos"	19.4842180366965	18.2042443653172	7.086249520311
"FUCA2__pos"	30.8591995379859	0.568134235281869	4.35018698820451
"LOC100288944__pos"	32.8307783298561	3.58526830010885	0.740705069761041
"ANGPT2__pos"	25.9533059679465	10.6874554396284	3.94148414965405
"LIPG__pos"	32.6591986506253	0.249613057382748	2.22044604925031e-16
"UPP2__pos"	34.6791994655779	1.2234674355851	1.1843429844045
"PPP1R14C__pos"	20.5472406462624	18.53489235979	6.06959949121915
"PGRMC1__pos"	3.19710160513837	2.31271887627194	28.9710635927155
"ZFP42__pos"	13.671914642232	20.6539238184607	2.51419440794241
"CPNE6__pos"	2.9173128443604	20.8626637967309	12.005537886078
"LOC100288267__pos"	2.22044604925031e-16	37.7707936254981	2.22044604925031e-16
"MS4A2__pos"	18.2771130539161	26.155070292062	2.22044604925031e-16
"STK32A__pos"	9.10715033602377	27.537664094568	2.22044604925031e-16
"C11orf74__pos"	40.3542559192257	2.02125471353375	2.22044604925031e-16
"FAM19A4__pos"	19.2276860872305	7.82900812306266	6.92449609006514
"C1orf170__pos"	13.8651798390758	22.9265956251341	5.88358413928247
"CPA3__pos"	28.7620460119919	16.9023540184241	7.2680088653043e-12
"EFNA1__pos"	27.0813696394205	17.5118304943351	2.22044604925031e-16
"FAM134B__pos"	37.9987202940961	4.78810038671065	2.22044604925031e-16
"SEPW1__pos"	33.8047746840492	0.96721001560672	6.2490724767118
"GJA1__pos"	28.2601862302134	13.384317704107	2.22044604925031e-16
"PRLHR__pos"	2.22044604925031e-16	5.54122212970478	2.22044604925031e-16
"GRIA3__pos"	26.9691931037537	14.0981785269813	2.34118002536786
"SFTA1P__pos"	22.8736515017078	7.03811296990691	11.9964030470608
"SFTPA2__pos"	2.22044604925031e-16	37.2667720057497	2.22044604925031e-16
"GJB4__pos"	2.22044604925031e-16	42.9573771246808	2.22044604925031e-16
"IL1F7__pos"	21.8194486329785	11.2834221015541	7.48607819682273
"KCNK7__pos"	11.4540751626446	13.6300355448267	14.4591287868894
"LOC541471__pos"	1.08984450243789	4.64117951948506	27.7287188379209
"LRRC8E__pos"	12.0957906867492	26.8536320063955	7.4849442088967
"RCAN2__pos"	27.8724131217333	5.10440099331367	2.70442298947123
"STBD1__pos"	34.0373280562559	6.71712607533628	2.22044604925031e-16
"HOXC12__pos"	2.22044604925031e-16	37.2602951499376	2.22044604925031e-16
"COX7A1__pos"	29.401813276713	3.65892979040865	2.22044604925031e-16
"ITGB6__pos"	2.22044604925031e-16	40.6443877441148	2.22044604925031e-16
"LOC647281__pos"	2.22044604925031e-16	42.0889725057756	2.22044604925031e-16
"TRIM16L__pos"	15.1368271316083	16.3882258943417	7.04530565675779
"TSLP__pos"	20.5348609542144	8.5707733786243	12.1558304497124
"ARHGEF5__pos"	20.8565323683267	17.9750394947753	6.53140100345495
"LOC100287814__pos"	35.3959012183771	2.91690162374721	0.301539682375521
"LAMP3__pos"	32.4395221410143	2.94385022975019	2.22044604925031e-16
"LAMC2__neg"	5.24094753748602	2.22044604925031e-16	30.1003487673586
"SDC4__neg"	0.723024006287349	2.07532004319191	24.8764743663777
"FLJ40125__neg"	4.71740478817147	4.36698726134438	21.8737773127532
"PLEK2__neg"	0.771464909792101	0.0327727198637748	31.8494560079432
"ODZ2__neg"	7.21493316918797	2.22044604925031e-16	19.7387028070461
"FUT7__neg"	2.22044604925031e-16	6.43950242484399	29.3701349552747
"LAMA3__neg"	0.00370673458453203	2.22044604925031e-16	33.2572345239604
"PARP9__neg"	6.57327456969327	2.56884027664578	24.7076081697292
"HDC__neg"	2.22044604925031e-16	2.22044604925031e-16	35.0509270134643
"XAGE2__neg"	11.0285724932488	5.51850258186743e-15	15.2118699723649
