"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"SURF6"	"SURF6"	0.878044453151761	-0.624748877123941	0.0618507086484492	-0.127923070904779	-0.30368854973337	"IS01"	0.878044453151761
"SDF4"	"SDF4"	0.867858629007636	0.160852013327407	-0.798285992347908	-0.417093833652844	-0.0990011860013978	"IS01"	0.867858629007636
"ATP11B"	"ATP11B"	0.537813104226383	-0.233514476174742	-0.211435027726637	0.189427276232926	-0.29607518953327	"IS01"	0.537813104226383
"LOC100287616"	"LOC100287616"	0.537704736949866	0.235604396587366	-0.265304032569713	-0.232879992494708	-0.559703438735241	"IS01"	0.537704736949866
"MOSPD1"	"MOSPD1"	0.531536905629672	-0.256726290732626	0.052963396686344	-0.209960134731872	-0.270718502846602	"IS01"	0.531536905629672
"AKAP12"	"AKAP12"	0.523316211911494	0.159627233806406	-0.508891074212173	-0.243386768288649	-0.120232872062236	"IS01"	0.523316211911494
"NR2E1"	"NR2E1"	0.482602058593307	-0.3330341472416	-0.0836046771134315	0.430241051803047	-0.428177834938561	"IS01"	0.482602058593307
"MYO6"	"MYO6"	0.457164981921279	0.118446769520105	-0.144648525303085	-0.704318870106999	-0.0632237573535177	"IS01"	0.457164981921279
"CAT"	"CAT"	0.398987623211502	-0.478877334993766	0.276570038387359	-0.0235285038486431	-0.199755586810012	"IS01"	0.398987623211502
"PPIAL4E"	"PPIAL4E"	0.366982959515608	-0.174675608280938	-0.166780713285796	0.17080200455122	-0.184923681353123	"IS01"	0.366982959515608
"LOC441208"	"LOC441208"	0.361633865987141	-0.0254904428333118	-0.476568570328512	-0.175667769124646	0.270584926861875	"IS01"	0.361633865987141
"CSTA"	"CSTA"	0.220543664171303	-0.548457280840999	0.193825832855032	0.179083952095302	0.0884821677416204	"IS01"	0.220543664171303
"SUPT3H"	"SUPT3H"	0.214067843009422	-0.025446909336817	-0.121479760457183	-0.0472750506329673	-0.0702369669347017	"IS01"	0.214067843009422
"SEMA4G"	"SEMA4G"	-0.769813063198658	0.701648505658208	-0.585299633419018	0.44137604049621	0.452837354924256	"IS02"	0.701648505658208
"BMP8B"	"BMP8B"	-1.08191197512381	0.600778051849167	0.240516693829551	0.145766423305148	0.22707068622913	"IS02"	0.600778051849167
"NDFIP1"	"NDFIP1"	-0.326607056875138	0.471998120673425	-0.489598862831463	0.137151559233527	0.286318759926372	"IS02"	0.471998120673425
"DNMT3B"	"DNMT3B"	-0.708426381628002	0.437293851772291	0.0739210653677771	0.339734112834446	-0.00106643657512845	"IS02"	0.437293851772291
"CDKN2BAS"	"CDKN2BAS"	-0.273815273418641	0.360345949963436	-0.231121563132306	0.13104929817444	0.0535457683662509	"IS02"	0.360345949963436
"PHKA1"	"PHKA1"	-0.270942076987731	0.347954632711566	0.0514825073640178	0.102056210920833	-0.262832761911452	"IS02"	0.347954632711566
"KIF21A"	"KIF21A"	-0.525402565903274	0.313521423266062	0.255542900167665	-0.0652046512345051	0.0132289891606384	"IS02"	0.313521423266062
"LOC646762"	"LOC646762"	-0.496553170629719	0.309848181332423	0.0749071189735419	0.0642751900994763	0.10235238291498	"IS02"	0.309848181332423
"DDN"	"DDN"	-0.0812448830533241	0.306398186996655	-0.0173946809514116	0.00561244157365686	-0.303732168022187	"IS02"	0.306398186996655
"TMEM106B"	"TMEM106B"	-0.340820426950471	0.293314671094408	0.0260277339838112	-0.12870803757794	0.123809893011314	"IS02"	0.293314671094408
"LANCL2"	"LANCL2"	-0.347230305262431	0.274120067885215	0.0609950933574762	-0.117696702433494	0.107469696501831	"IS02"	0.274120067885215
"ALDH4A1"	"ALDH4A1"	-0.546721144842349	0.252586154251177	0.0793589965941435	0.15176949651675	0.178076182155561	"IS02"	0.252586154251177
"PRR19"	"PRR19"	-0.382872375590209	0.250083894493633	-0.0133672425080987	0.163743986379345	0.0621591080839383	"IS02"	0.250083894493633
"CSRP3"	"CSRP3"	-0.154837562955636	0.245481054658588	-0.137555926333679	0.0274605359166844	0.0165590551068803	"IS02"	0.245481054658588
"TSGA14"	"TSGA14"	-0.12191017754056	0.195649078274245	-0.0931736310264562	0.0851417874151685	-0.0591220519898444	"IS02"	0.195649078274245
"SRD5A1"	"SRD5A1"	-0.37254273222876	0.158408332837441	0.0715026608502672	0.157372090160794	0.0765574564441532	"IS02"	0.158408332837441
"TARS"	"TARS"	0.0301151816733585	0.150155695625603	0.00790684629650191	-0.344072485679684	0.0068715316972018	"IS02"	0.150155695625603
"PLP2"	"PLP2"	-0.0806396258910123	0.116193584372379	0.0365691495834342	0.0125232542077068	-0.108565449437042	"IS02"	0.116193584372379
"TRIM72"	"TRIM72"	-0.131738838685772	0.106839193851903	-0.0685809710907709	0.019914590852999	0.100493273181574	"IS02"	0.106839193851903
"SGMS2"	"SGMS2"	-0.515921975510945	-0.733332479097613	1.14101488624804	0.894825368091946	-0.38018998966904	"IS03"	1.14101488624804
"DDR2"	"DDR2"	-0.753379690668347	-0.477249558556315	1.11322954851495	0.284998980552966	0.0991093943742228	"IS03"	1.11322954851495
"DUSP3"	"DUSP3"	-0.617380290569484	-0.301357680630851	1.10438618551617	0.157752971599468	-0.225800152106004	"IS03"	1.10438618551617
"SASH1"	"SASH1"	-0.858721812559492	-0.469573482416318	1.05045685129715	0.459698395257231	0.174456597137946	"IS03"	1.05045685129715
"FRMD4B"	"FRMD4B"	-0.8707444295599	-0.455943440952587	1.0485853281612	0.3054907412396	0.295298643558852	"IS03"	1.0485853281612
