"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"S100A9__pos"	7.7155781140828	2.60164389500299	18.0071156897734	6.09388217271557	2.22044604925031e-16
"S100A8__pos"	10.0674049764826	2.50022782313491	20.6814582143249	8.09177741606279	2.22044604925031e-16
"CSTA__pos"	12.1006404356748	1.5223952846292	11.0206550820835	6.14609424426601	9.46070820878979
"PIGR__pos"	5.8359824174922	14.3983886491755	2.40252054005726	7.88174780775116	5.99999417040848
"HSPB1__pos"	1.36605583682044	3.50358255898076	12.5978907082883	7.42819414664446	7.85483953396636
"PERP__pos"	4.0116310544972	0.768334572063525	10.8162940743864	15.5221866386778	0.796549963575405
"FOS__pos"	1.69442213803077	1.54335056169343	13.0694105734042	7.00273211788385	7.57595458555906
"DSC2__pos"	0.886810542195729	1.13267400927814	21.8725192545046	9.26827147670203	3.31890499203047
"ZG16B__pos"	3.14014217849314	2.22044604925031e-16	10.1748126843736	12.28159667174	1.61027488320262
"CDH1__pos"	0.88073224863515	2.71930147408946	6.0922437043775	9.16243051319335	18.4554148371241
"HTN3__pos"	0.929083209787475	2.22044604925031e-16	2.22044604925031e-16	22.0392612146818	5.56627793257457
"COMMD9__pos"	11.6758379329616	3.11326454080188	12.4011236079162	1.84862128832444	4.83386736228521
"KRT8__pos"	1.9911988328786	2.62690444392832	5.95413007753504	15.5877386393511	7.23008916988744
"LTF__pos"	2.53115934072626	2.22044604925031e-16	2.76811231678466	8.8837621084339	25.9103203085465
"DES__pos"	3.80023550279476	0.467159432087911	11.7572279891311	7.90211928257703	17.8602140724638
"KRT13__pos"	0.800181489848561	2.22044604925031e-16	2.22044604925031e-16	28.507684936219	2.22044604925031e-16
"MAL__pos"	3.80971597389195	2.65365598279106	8.2514654048348	5.31243512684828	22.7160658451682
"PRH2__pos"	2.22044604925031e-16	7.9740194497081	2.22044604925031e-16	6.72295314686914	12.7067554914505
"STATH__pos"	0.989849394211095	2.22044604925031e-16	2.50873331965101	24.6707330616209	0.219441442476281
"IL1RN__pos"	4.29731925119262	3.10568399302372	21.3744089842184	9.68481472347452	1.1261779744306
"AQP3__pos"	5.80075765793594	6.37780410523492	4.12775136438195	7.15919987288774	4.70642331331147
"KRT6A__pos"	3.2946121697612	2.22044604925031e-16	2.22044604925031e-16	26.6873639342422	2.22044604925031e-16
"GIPC1__pos"	2.14863470835327	4.43378070101333	8.95293168590041	7.03685321970385	7.28195477488216
"CRYAB__pos"	0.725284182077389	2.22044604925031e-16	13.1014263279067	13.8374989639134	9.35268556718359
"DSP__pos"	0.143415222155706	1.45272177319582	7.13440655665307	15.528011540391	15.8228639065673
"KLF5__pos"	3.54821410003223	6.97135654341078	8.76027694380238	12.3643994605895	2.25299282926374
"SPINT1__pos"	0.894055488661752	11.9691922182151	4.91502977207755	9.45257596198316	6.85483279432231
"KRT4__pos"	0.819510226618997	2.22044604925031e-16	2.22044604925031e-16	23.8160265548846	4.01438898891064
"CEACAM1__pos"	3.89819244829336	16.2585293923231	2.22044604925031e-16	5.74969644619255	6.53431141045722
"CD5L__pos"	6.79106702503895	7.97910203374949	7.26907309423685	2.22044604925031e-16	14.2763156944422
"PVRL1__pos"	1.18923010908624	19.6731414393284	5.48720663234183	8.90896725254122	3.76359665492557e-16
"ADH1B__pos"	3.49172127348617	2.22044604925031e-16	14.0476651993754	3.14646673170139	18.5567921956974
"KRT18__pos"	0.929182467399431	3.95049065244218	3.72202467259118	17.5354572406276	11.1631845744581
"LAD1__pos"	2.68602866863393	2.48584366634706	8.78614862771887	12.1960856306089	11.4772812174995
"ACTA1__pos"	1.94562044464134	9.18259228531329	3.84744614520419	11.6550571634617	1.91563292883206
"PRR4__pos"	2.22044604925031e-16	12.619851580882	2.22044604925031e-16	4.69931289413646	13.0498950988012
"EPCAM__pos"	4.73169919338018	16.3215859400962	4.53377301213355	11.7021729773453	2.22044604925031e-16
"LAMB3__pos"	0.913486206746159	3.28620043153874	15.15589784753	13.0046752194106	4.28904096035583
"KRT14__pos"	2.98032937254172	2.22044604925031e-16	2.22044604925031e-16	27.8522048055036	2.22044604925031e-16
"CEACAM5__pos"	0.358250092532165	2.22044604925031e-16	2.22044604925031e-16	29.0557973124261	2.22044604925031e-16
"TARS__pos"	5.94562587843758	10.5064011795447	7.88506223006286	1.65043595197187	0.809335688897031
"ECM1__pos"	2.22044604925031e-16	3.38413491956365	13.2200093322245	13.6061118246537	1.24016662993459
"KIAA1522__pos"	2.22044604925031e-16	0.773896382334733	10.5785693032946	17.3391368579439	8.29796862435093
"C7__pos"	3.79187331873085	2.4523973778212	7.36577879373649	2.22044604925031e-16	24.6695298646096
"HPGD__pos"	8.12159551480061	0.841020828276088	4.70524618373816	12.7102296598901	9.34710339629739
"EPS8L2__pos"	5.06948498533516	13.0895252097761	2.08484919732177	11.0031282546504	4.60033124529476
"PTPRF__pos"	2.22044604925031e-16	1.99073750270783	8.07008412433246	9.16590887997495	17.6406860989105
"SPINT2__pos"	8.41011321227621	8.06279915863321	6.21002665815878	9.39293517214777	2.94304969072662
"LOC100287891__pos"	7.29008245254914	5.67251582852367	8.65327798596997	6.00741169506628	8.03957137931126
"SELENBP1__pos"	2.22044604925031e-16	2.22044604925031e-16	8.40387798348853	13.0369030521789	19.3413820778387
"SMR3B__pos"	2.22044604925031e-16	0.0632545328826544	2.22044604925031e-16	23.7006521855154	4.94260555348729
"CR1__pos"	3.00629967429286	1.48493669102048	18.1324651660539	5.11577723196671e-05	15.476437934745
