"IS01"	"IS02"	"IS03"	"IS04"
"CD247__pos"	10.3015531828805	7.32883248650357	18.1494885392316	1.01555590596895
"C13orf18__pos"	9.56556561286333	3.39084027171378	2.22044604925031e-16	18.6698316259108
"SNX26__pos"	27.4303978704961	2.22044604925031e-16	0.175719721751904	8.76799421416052
"C11orf9__pos"	12.815594519276	1.80261985698895	10.4626902043222	12.7941053161698
"COL27A1__pos"	17.3093566818908	2.22044604925031e-16	15.806404636457	4.51563863120388
"SLC16A3__pos"	5.74569290083189	1.05078070438793	32.1540685306387	2.22044604925031e-16
"F5__pos"	6.66665689945441	0.292270090284574	20.328172878734	10.236008481915
"ACSL1__pos"	3.91048144468049	2.01131916843137	27.9399688986477	2.60567416720431
"AFAP1L2__pos"	6.09787814659886	0.514741964939696	29.5895002477651	0.168710960336459
"TUBB4__pos"	12.0216361470792	0.269574417143092	8.35497238729447	18.4713688750118
"CD274__pos"	4.46618665290725	4.24907031952532	25.1648760704187	5.4138948410025
"CCL4__pos"	4.76499021087165	6.95542808803572	25.6670186429773	2.22044604925031e-16
"PRSS21__pos"	8.15497860762492	8.55832377020942	6.83199035808121	11.5102467368451
"SIGLEC12__pos"	13.6260110407463	4.59367873085782	18.790781385759	3.22058495912717
"LOC100289383__pos"	30.801228770648	0.401277306086892	6.68731184871458	1.83381628494867
"COMMD9__pos"	3.54439314570569	15.4668359713645	5.84191085934433	3.58002637247092
"TXNDC11__pos"	13.4196033699762	3.82835630577556	5.79963209545978	9.75384519380569
"HLF__pos"	11.0571913890981	5.12680754845085	9.06945897765782	14.4450976466917
"MGLL__pos"	4.07895419933288	0.284494683835998	24.4187295836536	10.6587427978551
"FER1L4__pos"	27.8134846636926	0.376583691962655	3.24889252727835	7.66053513829185
"IGF2BP2__pos"	4.50667521137682	1.58407195652886	17.5789694672372	13.8799739060028
"PSORS1C2__pos"	19.4333153297702	5.27366619517395	3.68448787077906	8.60505205447938
"KDM5D__pos"	21.2290077947662	1.33599546906304	7.39202136128664	11.220724480674
"SLC38A5__pos"	14.1513200587918	2.79723150889101	3.09522254177216	16.8281197075119
"LEPREL1__pos"	6.67558599696767	4.07065002804156	10.9623614607022	16.0183774804267
"BSPRY__pos"	6.74746913468681	6.99695765945033	1.43119508671263	20.71147953173
"NR5A1__pos"	8.36633860369478	5.38786751784807	8.23614347039117	15.3344982018444
"FOXC1__pos"	4.93820562523064	1.40435445962298	7.12429894884036	22.425024136994
"KLHL12__pos"	4.34668718156529	2.53325191179402	0.597185009783379	26.3564752024218
"BARX1__pos"	9.08746148390555	8.15302957826022	18.9641829473438	3.10829052133168
"PIK3R5__pos"	11.2613693721482	2.02112221421792e-14	24.9457679076252	2.22044604925031e-16
"C4A__pos"	5.75420690687821	2.22044604925031e-16	32.3734946923855	2.44709466884521
"NOD2__pos"	14.2877863067977	0.293473407488613	24.8904433539217	0.705641335745796
"FOXJ1__pos"	9.23475815049138	2.38988717067447	9.77124526087548	16.1141711068149
"NGEF__pos"	8.98002464423556	5.55333788101127	12.1074231233392	12.9385258187054
"SEPT3__pos"	8.56407358672362	0.922586880564254	12.4657689557158	16.1688933866856
"NINJ1__pos"	5.83089569211471	4.24436680104048	27.4884841598102	0.687939644966093
"ACAD11__pos"	36.5731595377643	2.22044604925031e-16	2.22044604925031e-16	3.5968742560721
"PRDM1__pos"	10.6719112450594	1.04357716121752	19.0466919336345	10.6130861095689
"HIVEP2__pos"	6.24705758432118	2.22044604925031e-16	17.1137657967688	15.6845596508496
"STAB1__pos"	16.9950867602267	0.134861778044694	21.5286180432882	2.22044604925031e-16
"DUSP5__pos"	10.4340720211086	4.44124667245037	12.300700948062	10.4993831863628
"FLT1__pos"	2.22044604925031e-16	2.22044604925031e-16	28.1350645274671	11.7184446374483
"PHLDA1__pos"	5.22611918800547	4.04093794683097	20.8041338931457	7.42628687674985
"KIR3DL2__pos"	9.47025740951195	5.15186631114585	24.339168999111	0.443748700236142
"PLTP__pos"	2.38800386034143	3.21539800584382	32.365137570127	2.72629946986466
"ZNF841__pos"	22.3104767829081	2.22044604925031e-16	8.13918635592418	10.0368959128164
"C14orf83__pos"	7.40099852467432	3.94154990847476	25.8883506941735	1.62254653167691
"GRB10__pos"	8.38762626951339	2.22044604925031e-16	29.2909354596539	0.34986877908941
"FADS2__pos"	2.27284519026709	0.886694303692917	19.407215587029	17.4337914695615
"PHKA1__pos"	7.4818190590859	2.35618181920373	7.29464923495019	21.5979367206613
"SECTM1__pos"	4.20262039848855	1.46012972631469	33.320335991824	2.22044604925031e-16
"PREX1__pos"	5.97147390085682	2.22044604925031e-16	31.3320920045642	3.66595154004522
"RIMS3__pos"	7.86132628600381	0.209874711548181	11.3637766329902	19.8439310904252
"PRKAR2A__pos"	2.22044604925031e-16	1.80015328233754	16.7045662450647	20.5094124801756
"STAT5A__pos"	11.0309199828703	2.22044604925031e-16	25.6753172380246	5.11020748918029
"FURIN__pos"	9.13940406248305	2.22044604925031e-16	25.8292880859897	4.2194147589621
"ACTN3__pos"	19.5469690744482	2.8505682217164	8.51364005921668	8.98764459240851
"TP53I11__pos"	9.49036079012332	2.22044604925031e-16	16.2680516376733	14.0867887057431
"FAIM2__pos"	10.0052209813667	3.84061107556706	27.2093394484892	2.22044604925031e-16
"SOCS3__pos"	8.33519255729427	2.36457919851626	27.6690067308217	1.32081999125868
"ATXN7L1__pos"	15.1922057700206	1.35795083879218	16.131880310169	8.88364964416359
"TBKBP1__pos"	24.5197895645944	2.22044604925031e-16	13.9740942937975	2.95568105804647
