"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"
"PWP2"	"PWP2"	1.03944527092388	-0.911694581830642	-0.34475041772749	0.137060177629714	-0.0463740658926933	0.288470737795895	-0.614782792508149	"IS01"	1.03944527092388
"SIPA1L3"	"SIPA1L3"	0.99789175665751	-1.18621941511111	0.203896222842035	0.258828773001568	-0.409436707901129	0.239754801581102	-0.343196179029202	"IS01"	0.99789175665751
"POLD1"	"POLD1"	0.976484507161109	-0.907586271567699	-0.458893052609105	-0.287339776121704	-0.141547999267643	0.737390037463396	-0.368656588403062	"IS01"	0.976484507161109
"DNAJC2"	"DNAJC2"	0.930922040907926	-1.10229758934909	-0.250259292840057	0.210847707829134	0.0765891377083093	-0.144156266185105	-0.141284462121389	"IS01"	0.930922040907926
"FAM133B"	"FAM133B"	0.899926060874381	-0.107531649017616	-0.157849417536137	0.213865175666899	-0.295046995326464	-0.810834464844058	-0.383453342499652	"IS01"	0.899926060874381
"IPO5"	"IPO5"	0.85571310062517	0.289185903240626	0.00915538950453553	-0.0654345466826649	-0.57062835399337	-0.784297533925268	-0.419877293704439	"IS01"	0.85571310062517
"CSTF3"	"CSTF3"	0.855548534281407	-0.25835614840895	-0.30941568555994	0.0143058788691262	-0.192115097529235	-0.227441855882835	-0.442620174561445	"IS01"	0.855548534281407
"BEND3"	"BEND3"	0.84474356600322	-0.525859384916918	0.448296730879058	0.0548250031222569	-0.425541528290425	-0.275356745321835	-0.463925122012855	"IS01"	0.84474356600322
"NUP107"	"NUP107"	0.839339429976689	-0.606722531745469	0.105137696813919	0.031549067597614	-0.227607601442412	-0.614816522035279	-0.0140800568755174	"IS01"	0.839339429976689
"PHF6"	"PHF6"	0.832654716110721	-0.273332236716899	0.640065022971358	-0.183789803331639	-0.499770375767626	-0.770682661624241	-0.231782689363975	"IS01"	0.832654716110721
"ATP5SL"	"ATP5SL"	0.825235325996134	-0.24706423701917	-0.204568795616987	-0.140055516337631	-0.426301407661652	0.212313536631819	-0.479404440702496	"IS01"	0.825235325996134
"FOXRED1"	"FOXRED1"	0.803133701518125	-0.421911940660212	0.0161885188627641	-0.333859870349569	-0.313234663086766	0.058709443889684	-0.26731636766272	"IS01"	0.803133701518125
"NAPEPLD"	"NAPEPLD"	0.801572378754012	-0.348525520824091	-0.284290625160675	0.41265431662507	-0.189835517823059	-0.508323088423492	-0.355103148679789	"IS01"	0.801572378754012
"TARS2"	"TARS2"	0.777310549625358	-1.04273420056915	0.228251458079196	0.111332059590323	0.0560386082510036	0.142439924502272	-0.471421576820637	"IS01"	0.777310549625358
"TTPAL"	"TTPAL"	0.771215868257106	-1.02492259172866	0.681908765265874	0.119366590457299	-0.0890726919110542	-0.19746104433263	-0.422369676483804	"IS01"	0.771215868257106
"TYSND1"	"TYSND1"	0.746586694121254	-0.864820776702354	0.242936619581587	-0.0788972884590004	-0.0852639872958321	0.38590138300391	-0.539883280385082	"IS01"	0.746586694121254
"KRIT1"	"KRIT1"	0.738154826280724	-0.68377659737592	0.164014612624092	0.418250405061738	-0.0678456907082731	-0.533021231727571	-0.335206834834515	"IS01"	0.738154826280724
"CEP57"	"CEP57"	0.716633742922215	0.371966432836961	0.365463755788711	-0.172307056054384	-0.589393856615271	-0.889180120206008	-0.389871595433902	"IS01"	0.716633742922215
"FKBP4"	"FKBP4"	0.69199278981347	-0.52342902601745	-0.498811559142854	-0.0244186931585319	-0.222214759332391	0.285755903436574	-0.0831198713999279	"IS01"	0.69199278981347
"RPUSD4"	"RPUSD4"	0.664995872472952	-0.371680684293882	0.0552234867360569	0.00514230490231179	-0.523260883385684	0.072597185256855	-0.186942512379769	"IS01"	0.664995872472952
"ST14"	"ST14"	0.659936394729506	-0.493197006623459	0.383915821062242	0.03348612309677	-0.546820469994748	0.0115697713396777	-0.245999666863613	"IS01"	0.659936394729506
"CDK2"	"CDK2"	0.648218374498291	-0.347451845451923	0.324665122354384	-0.347125553604002	-0.443854615847829	-0.207218946508736	0.00715111508492049	"IS01"	0.648218374498291
"MIOS"	"MIOS"	0.645239024334383	-0.529050649044841	0.365138171905156	0.0301253857233555	-0.308720252958886	-0.204916703696297	-0.239736218919821	"IS01"	0.645239024334383
"LIPE"	"LIPE"	0.634307836296274	-1.16026613842035	0.176244961656515	0.349169889410811	-0.192453296422256	0.505749980989417	-0.282771044451765	"IS01"	0.634307836296274
"DSN1"	"DSN1"	0.621410351522511	0.243673145512344	0.38689591542074	-0.275551795769405	-0.772330272678996	0.0233073871271651	-0.567337019011848	"IS01"	0.621410351522511
"FBXL13"	"FBXL13"	0.618996125658751	-0.0729003631294357	-0.0733366545612081	0.146333196175338	-0.379473164344621	-0.414680813939337	-0.222592507502496	"IS01"	0.618996125658751
"SNX5"	"SNX5"	0.600364787608211	0.0362347152586158	0.377102756828003	-0.269547865202532	-0.30746053410492	-0.514042833747634	-0.350596409711153	"IS01"	0.600364787608211
"SAPS1"	"SAPS1"	0.578142820795071	-1.54057234258385	0.440989241169096	0.0370210432634158	0.218329306822252	0.448874950886131	-0.113572161860533	"IS01"	0.578142820795071
"C5orf33"	"C5orf33"	0.552074974276265	-0.360812214617053	0.210542359792701	0.196927971845301	-0.342827570292679	-0.392061140741603	-0.105836393317839	"IS01"	0.552074974276265
