"V1"	"CTSP.ACY5"
"RAB25"	"RAB25"	-0.894748162526294
"G0S2"	"G0S2"	2.08195901511643
"KLRA1"	"KLRA1"	-1.22737142101778
"MMP9"	"MMP9"	1.26365202959914
"ATRNL1"	"ATRNL1"	-0.597417873469229
"RAP1BL"	"RAP1BL"	0.0554504973776836
"HERPUD1"	"HERPUD1"	-0.783154913574455
"CRTAC1"	"CRTAC1"	2.4308274109959
"COL11A1"	"COL11A1"	2.38590296169918
"C17orf87"	"C17orf87"	0.262724926060738
"CADM3"	"CADM3"	0.137935808702836
"SERPINB9"	"SERPINB9"	-0.0742558714278629
"GALNTL1"	"GALNTL1"	-1.23482085760039
"SH2B2"	"SH2B2"	-0.542106975957259
"HNRPA1L.2"	"HNRPA1L.2"	-0.644143194961896
"PTPRS"	"PTPRS"	0.281249391029468
"PFKFB3"	"PFKFB3"	1.8018992836381
"TFCP2L1"	"TFCP2L1"	-0.320900038696075
"POLD1"	"POLD1"	-0.518555532967134
"C11orf41"	"C11orf41"	-0.451203013852143
"ACTR2"	"ACTR2"	-0.0494601654870466
"SELPLG"	"SELPLG"	0.910398814047957
"CEBPA"	"CEBPA"	0.460987447274746
"FZD6"	"FZD6"	-0.0541837248481557
"PITPNC1"	"PITPNC1"	0.693285359219032
"GBA3"	"GBA3"	-0.57963145120505
"TSPAN11"	"TSPAN11"	0.729061242866009
"USP2"	"USP2"	-0.115011001514825
"MFAP4"	"MFAP4"	0.853289631405005
"ATP5D"	"ATP5D"	-0.538493641058526
"RHOF"	"RHOF"	-1.44077128450873
"SLC12A8"	"SLC12A8"	-0.194310909134615
"SRC"	"SRC"	0.44512885245306
"ZNRF1"	"ZNRF1"	0.744030337277396
"LOC100287578"	"LOC100287578"	1.01546305611837
"SYTL4"	"SYTL4"	0.45642223999529
"MYO3B"	"MYO3B"	-0.31598773006292
"NPNT"	"NPNT"	-0.00919539327707152
"MYH11"	"MYH11"	0.307682047757453
"B3GALNT1"	"B3GALNT1"	0.287524105830316
"CD320"	"CD320"	0.0324914322187321
"RTN4R"	"RTN4R"	0.134244154593902
"FAM185A"	"FAM185A"	-0.0124965667530862
"STEAP3"	"STEAP3"	1.67923694682639
"CD9"	"CD9"	0.731222362869287
"NUP107"	"NUP107"	0.600650320317381
"GDPD5"	"GDPD5"	0.448854439476433
"TRPA1"	"TRPA1"	0.971280591190787
"CCL5"	"CCL5"	0.539127469189742
"BAIAP2L1"	"BAIAP2L1"	-0.554832010420828
"SNX5"	"SNX5"	-0.197623590797119
"LOC100288117"	"LOC100288117"	-0.944027276112244
"OMD"	"OMD"	2.12675156150122
"KCNJ5"	"KCNJ5"	-0.244766472060248
"C8orf4"	"C8orf4"	2.50950839853618
"TEX9"	"TEX9"	0.478219012954101
"S1PR2"	"S1PR2"	-0.272662677952704
"WEE1"	"WEE1"	-0.525761010560127
"ANGPTL4"	"ANGPTL4"	2.41681527788069
"POU3F1"	"POU3F1"	0.626274489903685
"ATP1B1"	"ATP1B1"	0.170016996584918
"F13A1"	"F13A1"	1.77974797512234
"MFAP5"	"MFAP5"	1.80912912383975
"B4GALT3"	"B4GALT3"	-1.08863083758743
"REEP1"	"REEP1"	-0.408990578889064
"CYTIP"	"CYTIP"	0.404009343623055
"IL23A"	"IL23A"	-0.524017404653865
"CAND1"	"CAND1"	0.00291214882047976
"EPSTI1"	"EPSTI1"	0.408941053057026
"C1QTNF3"	"C1QTNF3"	0.912681420874707
"STEAP4"	"STEAP4"	2.02502790939073
"ANPEP"	"ANPEP"	0.706472875984438
"RDH10"	"RDH10"	-0.442634866757751
"GSTT1"	"GSTT1"	0.783932584993997
"HSPA1A"	"HSPA1A"	2.59970463032708
"CA9"	"CA9"	-0.740926468408894
"SHROOM3"	"SHROOM3"	-0.344686540664348
"PRG4"	"PRG4"	1.42207659433283
"CDC42BPG"	"CDC42BPG"	-0.472793309141312
"ICOSLG"	"ICOSLG"	-0.564467974934096
"PTGES"	"PTGES"	2.14112908549389
"PDE8B"	"PDE8B"	1.8079571899071
"LOC284422"	"LOC284422"	-0.710645324207125
"GPD1"	"GPD1"	1.88105045149742
"STAT5A"	"STAT5A"	0.102455042146884
"GPR132"	"GPR132"	0.762245530018258
"ST14"	"ST14"	-0.654326123120462
"TUBA8"	"TUBA8"	2.21065460521606
"CEND1"	"CEND1"	0.930052794005717
"SORBS1"	"SORBS1"	2.03379041238908
"DPT"	"DPT"	0.909879516942653
"SNCAIP"	"SNCAIP"	0.682415358414848
"LMO2"	"LMO2"	0.0381809082697469
"EGR2"	"EGR2"	-0.903864481992722
"H19"	"H19"	2.04475757393686
"STRA6"	"STRA6"	0.0900651744090186
"EDARADD"	"EDARADD"	-0.307810255647599
"LPIN1"	"LPIN1"	-0.578378710611217
"RPRD1B"	"RPRD1B"	-0.287655870535404
"ALPL"	"ALPL"	2.08922611838214
"SDC4"	"SDC4"	1.70748897674863
"TMEM130"	"TMEM130"	-0.813445684739504
"FNDC1"	"FNDC1"	2.02008449164897
"NGFR"	"NGFR"	0.478570034755413
"CALML4"	"CALML4"	0.0324953005308601
"SWAP70"	"SWAP70"	-0.282842817541476
"TDO2"	"TDO2"	1.62179384480955
"MMP11"	"MMP11"	-0.379618905409503
"SELE"	"SELE"	2.50209330110907
"SLC6A6"	"SLC6A6"	-0.180534621163371
"DNMT1"	"DNMT1"	-0.957287738085377
"SLC4A8"	"SLC4A8"	-0.118700652016536
"TMEM123"	"TMEM123"	-0.485975054765296
"FLJ35220"	"FLJ35220"	-0.111313837747317
"UCHL1"	"UCHL1"	0.0378941772201457
"GATA4"	"GATA4"	-0.699103310717775
"BZW1L1"	"BZW1L1"	-0.106949614661838
"PPAP2C"	"PPAP2C"	0.200773560325451
"EYA2"	"EYA2"	-0.502747467971796
"ARHGAP20"	"ARHGAP20"	0.541776827207674
"CFD"	"CFD"	1.93253561441973
"GNG8"	"GNG8"	0.795491710091079
"TMEM176B"	"TMEM176B"	1.12066266086525
"RGS2"	"RGS2"	2.00634727585101
"VSIG1"	"VSIG1"	0.0675715650808832
"LTA4H"	"LTA4H"	0.240908232720994
"ZBTB43"	"ZBTB43"	-0.89287377697931
"MAML3"	"MAML3"	-0.223890427584268
"LOC729086"	"LOC729086"	-1.17320184062748
"TSPYL5"	"TSPYL5"	-0.278724231940866
"EGR1"	"EGR1"	0.8368371672482
"BCL2L12"	"BCL2L12"	-0.0119613532948033
"MAP2"	"MAP2"	-0.354840295203634
"TBC1D15"	"TBC1D15"	1.31284870676093
"DENND3"	"DENND3"	-0.231784567042112
"SPP1"	"SPP1"	1.82370086075754
"CNTNAP4"	"CNTNAP4"	0.463973950843173
"ZNF277"	"ZNF277"	0.430733307178296
"FOSB"	"FOSB"	1.18658725195962
"BHLHE40"	"BHLHE40"	0.115466085789134
"PTX3"	"PTX3"	2.03802776359497
"LOC100129066"	"LOC100129066"	-0.0541760391113914
"DAZL"	"DAZL"	-0.0991336318309735
"MYCN"	"MYCN"	-0.588098675192405
"APLN"	"APLN"	0.508236060376745
"NAB1"	"NAB1"	0.503589395960501
"DYNC1I1"	"DYNC1I1"	0.263853353763923
"CPS1"	"CPS1"	-0.00695980659526906
"GHRL"	"GHRL"	-0.10139612784163
"ICAM1"	"ICAM1"	1.08971602384203
"FES"	"FES"	-0.111204742687287
"KDM3A"	"KDM3A"	-0.676930853931257
"TOX"	"TOX"	-0.941989622078209
"MLPH"	"MLPH"	2.17012165853226
"SLC11A1"	"SLC11A1"	2.2277961595959
"PDE4D"	"PDE4D"	-0.220546134222486
"CX3CL1"	"CX3CL1"	-0.521060893440261
"LGI2"	"LGI2"	0.83907952119489
"LYVE1"	"LYVE1"	1.92019018101599
"ABI3BP"	"ABI3BP"	1.02668803001665
"NR4A3"	"NR4A3"	-0.590823333175049
"OGN"	"OGN"	2.06457744604031
"TINAGL1"	"TINAGL1"	0.916048452042368
"IFFO2"	"IFFO2"	0.317914714030386
"PHYH"	"PHYH"	0.675479021236631
"OSM"	"OSM"	2.26555580286255
"NDRG1"	"NDRG1"	1.10136729495596
"CSF2RA"	"CSF2RA"	0.937192268553885
"MSLN"	"MSLN"	0.549220007543569
"MSRA"	"MSRA"	0.0719535713608444
"ITPKB"	"ITPKB"	-1.44868247830225
"PTHLH"	"PTHLH"	-0.439248311854937
"ZNF365"	"ZNF365"	-0.382588704580395
"EGLN3"	"EGLN3"	-0.53269104508049
"PWP2"	"PWP2"	-0.938089320698494
"CD83"	"CD83"	0.36552354245373
"ABCG2"	"ABCG2"	-1.0428668812996
"TARS2"	"TARS2"	-1.32019292145463
"TMEM119"	"TMEM119"	0.517316364008257
"C5orf33"	"C5orf33"	0.0864213262385361
"FLJ41603"	"FLJ41603"	0.293971851571258
"ANGEL2"	"ANGEL2"	-1.73360898941689
"CGNL1"	"CGNL1"	0.133919072001044
"TMOD2"	"TMOD2"	0.308869232636336
"APOA4"	"APOA4"	-0.347248513451201
"IGFBP2"	"IGFBP2"	0.552161970441941
"TNFRSF11B"	"TNFRSF11B"	-0.711899975621568
"FAM129A"	"FAM129A"	-0.108143372136502
"TTPAL"	"TTPAL"	-1.34610841727536
"LSAMP"	"LSAMP"	0.042903543971143
"SERINC2"	"SERINC2"	0.922539279113145
"CLDN14"	"CLDN14"	0.316686532756874
"SDC3"	"SDC3"	-0.370141135252002
"TFAP2A"	"TFAP2A"	0.219639887796568
"C6orf130"	"C6orf130"	0.105490282928592
"TIPARP"	"TIPARP"	0.29002698714573
"RASL11A"	"RASL11A"	0.235809425100074
"FOXRED1"	"FOXRED1"	-0.349986934423103
"REG3A"	"REG3A"	-0.348662587524183
"MGST1"	"MGST1"	2.13784614762335
"LOC678655"	"LOC678655"	-0.0762054227896214
"SOX9"	"SOX9"	-0.434842906099083
"DUSP10"	"DUSP10"	0.312447193773805
"APOL1"	"APOL1"	0.588728611799139
"TAF6"	"TAF6"	-0.952261566099792
"SLC7A7"	"SLC7A7"	0.770670444539759
"PGD"	"PGD"	0.943933906179772
"SLC22A23"	"SLC22A23"	-0.25371561333569
"SLIT3"	"SLIT3"	1.05694154612286
"LSP1"	"LSP1"	-0.76971729313487
"DOCK9"	"DOCK9"	-0.711118414598165
"KIRREL2"	"KIRREL2"	-0.137343961634338
