"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072003"	"MS2010072036"	"MS2010072827"	"MS2010072831"	"MS2010072913"	"MS2010072925"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072004"	"MS2010072805"	"MS2010072835"	"MS2010072838"	"MS2010072902"	"MS2010072917"	"MS2010072930"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072026"	"MS2010072038"	"MS2010072813"	"MS2010072837"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"MS2010072001"	"MS2010072023"	"MS2010072034"	"MS2010072042"	"MS2010072821"	"MS2010072824"	"MS2010072828"	"MS2010072904"	"MS2010072921"
"RFNG"	8.13707328460911	7.66583453419465	7.17953555695574	7.20625406523123	8.15237476931205	7.47212224527338	7.80755377275921	6.49983556379398	7.29366921804956	7.19201494222279	8.08327304345191	3.45149187839912	7.82521783857521	7.29017241860194	8.42328596696713	7.68857555157216	9.7761882898865	7.54849877923754	7.824568143343	7.02159675845466	5.91568160087473	7.65158913185137	6.30165863400171	7.24725003614828	8.29009814636137	7.78300114480713	6.70348721069968	8.38408485469744	7.50775409566785	8.06486284624128	7.54467161068938	7.66123738926703	6.48741478153074	6.4992835540066	7.33284207681352	8.21326907047823	7.17864996459207	7.27956166344262	7.23836807273017	7.56494577465644	7.59764921981503	7.80722961315568	7.35698862329715	8.11247280941734
"SH3GLB1"	11.0158790541255	11.3609260865126	11.3965192353427	11.0829065881835	10.8045562579439	11.1788342097513	11.2532510269035	11.5849541286407	11.1131106533017	11.713242408796	11.392040175582	11.1568594418795	11.2596265682682	11.1255749921863	11.7581843627712	11.5548280686613	10.6051196856201	11.6243203660978	11.7415589191944	11.3032633003559	11.3119178926562	11.5380562372351	11.4189255826996	11.5703148832267	11.8137484836621	11.8966275392336	11.2290468154032	11.7588065388566	11.4713559463906	11.7279258180007	11.6091330419502	11.5662741198409	11.4815834233511	11.2406428388985	11.6986475168148	11.2923840605953	11.5523305622464	11.3972783022515	11.4461993733544	11.2933945395611	11.5369873692834	11.5209655637559	11.3385717978888	11.6095577128318
"NDUFS7"	9.90680686014539	10.9142092990832	10.7884065354325	11.8027323508877	10.00848011358	10.6034430538137	10.4469463866612	10.5829464979222	10.203320264048	10.4101741962735	10.2411625897252	10.4646615010578	10.6778284331438	10.3691366056355	10.625251190822	10.8876905295516	10.135113811127	10.309579778313	9.85456161315162	10.8027830043061	10.0595100276911	10.6449186507522	10.4081804631648	10.4316992131569	10.937548980489	11.1074503674831	10.9318057338063	10.0835064908101	10.3051645081725	10.2719887546803	10.5172742622627	10.6119944567246	10.3544259803014	10.302523186263	10.2732852094763	10.7661670890448	10.4641816193861	10.7033807249695	11.5457131288783	10.6035100152175	11.039883866801	10.9234137012161	10.6731364529215	10.5880151877923
"CHMP5"	10.53876029674	11.3678822633862	11.5020942196676	11.9067211620937	10.7622982799262	10.4677541536316	11.3483032873002	12.3540916226335	11.3193127975868	12.2484248615732	12.0980067933491	12.0834757776346	11.9783595396208	11.732011979999	11.1030265745314	11.1386300629876	10.4842999823812	11.3502364234414	11.3376117912338	12.3914328608262	11.7199285597596	11.8443412389733	12.1385636123934	12.1947812216631	12.1284341578753	12.106783598995	12.3814961125112	11.3524840101873	11.5696345199623	11.5109378709288	12.7199238030353	12.6644926359526	12.7021076546778	12.18053777821	12.2802597518375	12.1180975895838	11.981974152196	12.3598206607498	12.7458053616911	11.8780041163991	12.226841625153	12.1308964174402	12.1739689004578	12.3757731224175
"SPTLC1"	8.75231705332605	9.08182195325965	8.53331612672065	8.70286325987694	9.88354892839411	9.36097665068255	8.72444681078241	9.44025399185988	8.10617036741247	9.16148646998539	8.67697298308091	8.86712288056381	9.28172074965018	8.79526424091223	8.86528731393319	8.62850783418267	8.57206161574641	9.22131651857186	9.38853113953932	8.72633729773726	8.61430773141364	9.0977004955429	9.1114855507477	8.85794804179029	8.75918302024137	9.16290560409328	9.07514849697665	8.77363320870821	8.53917677706587	9.29436123885585	9.5692962104339	8.81551672923614	9.19124402475608	9.16927100902707	8.94516612321317	8.53260047371851	8.73821468423347	8.82847622917667	8.58877404190649	8.63741574640538	8.76549840755108	8.8789883485696	9.12899931743351	9.11295878958405
"DGCR14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RASSF7"	8.73046372465213	8.65528797788354	8.43978140614672	8.77150267004421	8.9805905215312	8.6439752395181	8.86145384494129	8.05774321489297	8.36896689753407	8.44416385204329	8.27879083960029	8.48425909569125	8.7220279869441	8.67120073106549	9.19624967952961	8.50569845442626	7.85526900367599	8.62784940707773	8.46527754703047	7.70450089473728	8.20634556568702	7.91240658373856	8.22320600780231	8.28030029520101	8.51769951394127	8.44951527296368	8.36399131185672	8.29818694095914	8.80670270475498	8.63389753784247	7.81964437547256	8.38227507220158	8.54202643453519	8.01378507590693	8.17128519237635	8.7467094230497	8.99363286645981	8.86281049205993	8.68640112477715	8.14049130738843	8.76388122335885	8.45207881088226	8.75464470166076	8.45604735854276
"INO80E"	8.97457316963172	8.57717361752849	8.89969355430923	8.86486429224594	9.11677025831047	7.30301972530224	9.28744162553892	7.61557484886205	8.44584249588983	7.83319456502891	7.88935780571331	7.34973516832845	8.61640056088196	9.17803313579019	8.81024714866786	8.76659336635503	9.05272691777389	7.59746350483322	8.90796891398428	7.0598733305429	7.52499765531036	7.45287952510004	7.94870416246449	7.50076233951558	8.72038499091878	8.30345782798957	8.02446665749701	8.56322598029357	9.00963625206116	7.68505961593284	7.45549015291691	8.05026326857854	7.61917540559043	7.73180067304254	7.50740474513323	8.70454994825788	8.47606048531621	8.20582040797745	9.07172769479147	8.27666676602242	8.82210814879793	8.4963585013288	8.63346524570251	8.40227026127959
"LY6G5C"	7.56867315190548	6.21049654054013	6.52630127926822	5.83682950116881	6.46067149484357	6.66355391194671	5.76048559672125	5.42821487458995	5.04627325715759	6.49751575284779	5.47743617684667	5.87914072499285	6.21764867851415	6.25438809252414	6.90250492221094	6.88108084194864	8.91891469309662	6.46431491085738	5.64834165364341	5.89580453018912	6.1495711418137	5.61081363116818	5.43081010280221	4.52412460008809	6.32641803010775	6.32340133521814	5.81101432572136	6.74685381816296	5.64752775298469	7.29101624986653	6.40424055217426	6.75143095560295	6.31901214985356	4.94469508540819	5.59957073625543	7.03502406022747	6.90876240306236	7.31451685085247	6.22272662214973	5.67480988896038	5.26346827181262	7.10008576866764	6.61852711972153	6.83998610859318
"LOC401397"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RNPEPL1"	9.02444382870951	7.40795835817405	8.22740542420813	7.60110956061533	7.46542680774652	6.98715215219121	7.16754073947052	7.95082605390675	7.83591057329753	7.47681670902819	8.08383289625947	7.29505883074482	7.45434179753712	7.4229543314261	8.4751113168946	8.26054157704557	7.10240798447327	8.57548324131779	8.22201444133114	7.48649548422708	8.07712306343857	7.84786233471845	8.03761380381606	8.12950179929737	8.42740994303166	8.21830832506273	7.86380044634559	7.60532392431431	8.10712788611955	8.16906182263635	7.67335284076938	8.35032190899057	8.04145355517867	7.23245956402622	7.96292929198763	8.77618511129066	7.51117012239336	8.13135026248229	7.42031584208619	7.36360757835549	8.15675300265966	8.19334492602993	7.69419559310265	8.12254043680544
"FAM110A"	8.30464624048345	7.45062987647769	7.28856381141588	7.04498267242895	7.50998541982494	6.15291620069997	6.30364346631495	6.66599802665239	5.94758863063187	7.6405551648481	7.34947963036704	7.10870816512004	7.09517598081885	7.22011944775274	8.25529223263606	8.14808915290638	7.29019014297896	7.09961085096054	7.62670474597966	7.90332640295386	6.78684294109098	7.29452810914902	7.11450481622338	7.22571097017397	7.24779081103018	6.59158080189109	7.1027928570839	7.39565105774292	6.41839973801675	7.62492260402982	7.35375731256022	7.69946330374456	7.39510456673213	4.75143443744627	7.36091057203259	8.41440768864223	7.09878685901636	7.82405308470061	7.76798102719214	6.08775039285761	7.22279236896165	6.93987369678823	7.4028255533601	7.82554209524494
"C3orf23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1orf223"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B3GALT6"	9.19340598883625	9.04127517949914	8.19749169805308	9.11629510224002	9.09302929405404	9.67301982066761	8.55633780507965	8.59564367065303	9.49386239847844	9.576468519343	9.01957774408061	8.82982819993049	8.40142715832656	8.50064857892161	9.27513586176306	9.10819684303665	9.40790057959702	9.62678347636317	9.14637233291872	8.73589416734393	9.00789063532476	8.95137195927114	8.35046719186266	9.37762352432441	8.21436154343428	8.72026197205151	9.50753122133337	9.12557294924442	8.80628876353196	9.14224040617832	9.17561629876407	9.47238252226846	9.16819137348849	8.25898855353112	9.19853221204948	9.45348954589447	8.22691477609719	9.1047043216978	7.92853295045307	8.92135768639359	8.68179722998597	9.04497919914212	9.09701620011482	9.03975533816189
"FLT3LG"	5.67569951985692	6.94259446259406	6.08921331228936	3.87233889479964	7.24375105204538	6.28364891781719	4.60387743778672	6.34196624000724	6.80517411969103	6.76056808277283	7.83818107863966	7.00392298706065	6.88346767333533	6.48255198050262	6.23169173488708	7.89481821482376	7.53452423326311	7.98552838035238	3.60271689496795	2.80574560726798	4.32407968646211	2.28711138448638	3.35581744875468	4.77831982563715	6.77481094015123	3.50842213007001	8.37378457323888	4.67428000732789	6.42113975183552	7.5090255686567	6.12472978234942	6.94139081234416	5.94767953870425	1.45323727267013	6.24329982865355	8.01728798259195	3.79829906899131	7.55223423610258	7.48165858834775	6.1744861622427	5.22431446524729	5.26947337674257	6.12860909607306	7.6116406268336
